year,name,college,position,height_in,weight_lbs,40yards,vert_leap_in,broad_jump_in,shuttle,3cone,hasstats,cmp,att,pct,yds,td,int,rate,heisman,bling,awards,allamerican,drafted
2003,seneca wallace,Iowa State,QB,71.4,196,4.52,38.0,127.0,4.14,6.97,,411.0,712.0,57.7,5289.0,26.0,27.0,124.6,0.0,0.0,0.0,0.0,Y
2017,sefo liufau,Colorado,QB,75.38,232,5.08,27.0,105.0,4.45,7.32,,887.0,1412.0,62.8,9746.0,60.0,35.0,129.9,0.0,0.0,0.0,0.0,N
2015,sean mannion,Oregon State,QB,77.63,229,5.14,31.0,105.0,4.39,7.29,,1187.0,1838.0,64.6,13600.0,83.0,54.0,135.8,0.0,0.0,0.0,0.0,Y
2000,sean keenan,Williams College (MA),QB,75.0,202,5.03,25.5,95.0,4.41,7.21,,,,,,,,,0.0,0.0,0.0,0.0,N
2010,sean canfield,Oregon State,QB,75.75,223,4.93,29.5,100.0,4.39,7.26,,552.0,861.0,64.1,5970.0,38.0,26.0,130.9,0.0,0.0,0.0,0.0,Y
2011,scott tolzien,Wisconsin,QB,74.0,212,4.92,29.5,116.0,4.12,6.84,,410.0,602.0,68.1,5271.0,32.0,18.0,153.2,0.0,0.0,1.0,0.0,N
2004,scott rislov,San Jose State,QB,73.0,224,4.94,30.0,119.0,4.34,7.44,,536.0,886.0,60.5,6267.0,40.0,19.0,130.5,0.0,0.0,0.0,0.0,N
1999,scott dreisbach,Michigan,QB,75.0,216,4.78,33.0,109.0,4.27,7.06,,208.0,380.0,54.7,2920.0,15.0,12.0,126.0,0.0,0.0,0.0,0.0,N
1999,scott covington,Miami (FL),QB,74.1,219,4.67,34.0,107.0,4.42,7.62,,281.0,497.0,56.5,3862.0,26.0,15.0,133.0,0.0,0.0,0.0,0.0,Y
2008,sam keller,Nebraska,QB,75.63,241,5.03,24.0,107.0,4.35,7.07,,425.0,703.0,60.5,5440.0,40.0,21.0,138.3,0.0,0.0,0.0,0.0,N
2018,sam darnold,Southern California,QB,75.0,221,4.85,26.5,105.0,4.4,6.96,,549.0,846.0,64.9,7229.0,57.0,22.0,153.7,0.0,0.0,0.0,0.0,Y
2010,sam bradford,Oklahoma,QB,76.25,236,4.79,,,,,,604.0,893.0,67.6,8403.0,88.0,16.0,175.6,1.0,1.0,1.0,1.0,Y
2001,sage rosenfels,Iowa State,QB,76.4,228,4.77,34.0,107.0,4.29,7.07,,306.0,587.0,52.1,4164.0,18.0,26.0,113.0,0.0,0.0,0.0,0.0,Y
2012,ryan tannehill,Texas A&M,QB,75.88,221,4.65,,,,,,484.0,774.0,62.5,5450.0,42.0,21.0,134.2,0.0,0.0,0.0,0.0,Y
2013,ryan nassib,Syracuse,QB,74.13,227,5.06,28.5,105.0,4.53,7.34,,791.0,1312.0,60.3,9190.0,70.0,28.0,132.5,0.0,0.0,0.0,0.0,Y
2011,ryan mallett,Arkansas,QB,78.75,253,5.24,24.0,103.0,,,,552.0,955.0,57.8,8385.0,69.0,24.0,150.4,0.0,0.0,0.0,0.0,Y
2012,ryan lindley,San Diego State,QB,75.75,229,4.86,29.5,108.0,4.45,7.52,,961.0,1732.0,55.5,12690.0,90.0,47.0,128.8,0.0,0.0,0.0,0.0,Y
2005,ryan fitzpatrick,Harvard,QB,74.38,232,4.87,30.5,103.0,4.07,7.09,,,,,,,,,0.0,0.0,0.0,0.0,Y
2011,ryan colburn,Fresno State (CA),QB,74.75,233,5.12,,,4.28,6.84,,412.0,663.0,62.1,5334.0,42.0,20.0,144.6,0.0,0.0,0.0,0.0,N
1998,ryan clement,Miami (FL),QB,73.0,212,5.02,31.0,104.0,4.39,7.85,,443.0,747.0,59.3,6004.0,36.0,29.0,135.0,0.0,0.0,0.0,0.0,N
2012,russell wilson,Wisconsin,QB,70.63,204,4.53,34.0,118.0,4.09,6.97,,,,,,,,,0.0,0.0,0.0,0.0,Y
2002,ronald curry,North Carolina,QB,73.9,220,4.65,35.0,110.0,4.11,7.06,,345.0,695.0,49.6,4987.0,28.0,35.0,113.1,0.0,0.0,0.0,0.0,Y
1998,ron powlus,Notre Dame,QB,73.6,219,5.1,26.0,98.0,4.35,7.53,,558.0,969.0,57.6,7602.0,52.0,27.0,135.6,0.0,0.0,0.0,0.0,N
2001,romaro miller,Mississippi,QB,72.1,205,4.64,35.0,110.0,4.51,7.4,,515.0,930.0,55.4,6513.0,45.0,33.0,123.1,0.0,0.0,0.0,0.0,N
2002,rohan davey,Louisiana State,QB,74.0,245,4.74,25.5,,,,,286.0,478.0,59.8,4415.0,29.0,15.0,151.2,0.0,0.0,0.0,0.0,Y
2004,rod rutherford,Pittsburgh,QB,73.6,240,4.79,30.5,110.0,4.41,7.66,,458.0,842.0,54.4,6724.0,60.0,30.0,137.9,0.0,0.0,0.0,0.0,N
2004,robert kent III,Jackson State (MS),QB,76.3,222,4.85,26.5,110.0,4.22,7.69,,,,,,,,,0.0,0.0,0.0,0.0,N
2012,robert griffin,Baylor,QB,74.38,223,4.33,39.0,120.0,,,,800.0,1192.0,67.1,10366.0,78.0,17.0,158.9,1.0,1.0,1.0,1.0,Y
2010,riley skinner,Wake Forest,QB,72.0,214,5.05,30.0,101.0,4.29,7.04,,903.0,1349.0,66.9,9762.0,60.0,37.0,136.9,0.0,0.0,0.0,0.0,N
2018,riley ferguson,Memphis,QB,75.0,212,4.98,29.0,110.0,4.4,6.96,,579.0,917.0,63.1,7955.0,70.0,19.0,157.1,0.0,0.0,0.0,0.0,N
2011,ricky stanzi,Iowa,QB,76.38,223,4.87,32.5,110.0,4.43,6.95,,542.0,907.0,59.8,7377.0,56.0,31.0,141.6,0.0,0.0,0.0,0.0,Y
2009,rhett bomar,Sam Houston State (TX),QB,74.25,225,4.7,,106.0,4.06,6.91,,167.0,308.0,54.2,2018.0,10.0,10.0,113.5,0.0,0.0,0.0,0.0,Y
2003,rex grossman,Florida,QB,73.0,217,5.06,,,,,,677.0,1110.0,61.0,9164.0,77.0,36.0,146.7,0.0,1.0,1.0,1.0,Y
2006,reggie mcneal,Texas A&M,QB,74.0,198,4.43,32.0,121.0,4.25,6.96,,478.0,875.0,54.6,6992.0,44.0,23.0,133.1,0.0,0.0,0.0,0.0,Y
2002,randy fasani,Stanford,QB,75.4,234,4.78,31.5,106.0,3.87,6.75,,188.0,369.0,50.9,2973.0,25.0,11.0,135.0,0.0,0.0,0.0,0.0,Y
2006,quinton porter,Boston College,QB,76.63,233,4.72,33.5,116.0,4.1,6.76,,290.0,484.0,59.9,3203.0,23.0,14.0,125.4,0.0,0.0,0.0,0.0,N
2018,quinton flowers,South Florida,QB,70.0,214,4.63,,112.0,4.57,6.81,,565.0,980.0,57.7,8124.0,71.0,23.0,146.5,0.0,1.0,1.0,0.0,N
