year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,hasawards,allamerican,drafted
1998,keith brooking,Georgia Tech,OLB,74.4,244,,24,,,,,0,0,Y
1998,chester burnett,Arizona,OLB,70.6,224,4.66,26,33.5,114,4.41,7.82,0,0,Y
1998,daryl bush,Florida State,ILB,73.8,248,,26,,,,,0,0,N
1998,shane carwin,Western State Colorado,ILB,73.4,257,4.93,29,30.5,106,4.25,7.79,0,0,N
1998,derrik clark,Iowa State,OLB,75.4,247,4.77,14,37.5,122,3.98,7.06,0,0,N
1998,aaron collins,Penn State,OLB,71.5,237,4.77,27,33.5,117,4.18,7.75,0,0,N
1998,sam cowart,Florida State,OLB,72.9,246,,,30.5,112,4.28,7.84,1,1,Y
1998,jamie duncan,Vanderbilt,OLB,72.1,244,,23,,,,,0,0,Y
1998,chike egbuniwe,Duke,ILB,73.5,236,4.92,,32.5,111,4.41,8.07,0,0,N
1998,gregory favors,Mississippi State,OLB,73.4,229,4.78,15,32,115,4.29,7.53,0,0,N
1998,chris gizzi,Air Force,ILB,71.9,232,,26,,,,,1,0,N
1998,jerry jensen,Washington,OLB,72.3,237,4.8,22,31.5,106,4.22,7.52,0,0,Y
1998,antony jordan,Vanderbilt,OLB,74.8,239,4.75,20,34,116,4.22,7.84,0,0,Y
1998,kivuusama mays,North Carolina,ILB,74.9,251,,16,,,,,0,0,Y
1998,ron merkerson,Colorado,ILB,73.9,252,4.86,22,32.5,110,4.35,7.64,0,0,Y
1998,deshone myles,Nevada Las Vegas,OLB,74.1,244,4.85,19,32.5,113,4.16,7.75,0,0,Y
1998,isaiah reese,Michigan State,OLB,74.6,224,4.62,,31.5,113,4.11,7.78,0,0,N
1998,ron rogers,Georgia Tech,ILB,72.4,243,,25,,,,,0,0,Y
1998,anthony simmons,Clemson,ILB,72.1,231,,22,34.5,127,3.97,7.35,0,0,Y
1998,brian simmons,North Carolina,OLB,74.9,238,4.62,,30,117,4.31,7.47,1,1,Y
1998,myron smith,Louisiana Tech,OLB,72.9,225,4.58,12,34.5,118,4.27,7.96,0,0,N
1998,travian smith,Oklahoma,OLB,75.9,238,4.44,15,32.5,120,,7.66,0,0,Y
1998,takeo spikes,Auburn,ILB,72.9,234,,27,37,124,4.14,7.84,0,0,Y
1998,derek strey,Eastern Washington,ILB,73.8,252,4.84,30,30,106,4.31,7.65,0,0,N
1998,jeremiah trotter,Stephen F. Austin (TX),ILB,72.5,261,4.68,32,34,117,4.14,7.62,0,0,Y
1998,zack walz,Dartmouth (NH),OLB,75.9,228,4.79,13,33.5,116,4.11,7.42,0,0,Y
1998,vaughn washington,Houston,OLB,74.1,248,,28,,,,,0,0,N
1999,rahim abdullah,Clemson,OLB,77.1,244,4.88,17,34,117,4.36,7.24,0,0,Y
1999,brendon ayanbadejo,UCLA,OLB,73,234,4.67,18,36,117,4.36,7.57,0,0,N
1999,eric barton,Maryland,ILB,74.8,247,4.68,20,32,112,4.32,7.6,0,0,Y
1999,chris claiborne,Southern California,ILB,74.4,248,4.63,16,34,115,4.37,7.68,1,1,Y
1999,tony damato,Utah State,ILB,71,240,4.77,34,30,106,4.4,7.5,0,0,N
1999,antico dalton,Hampton (VA),OLB,73.1,242,4.76,30,35,113,4.32,7.49,0,0,Y
1999,jay foreman,Nebraska,ILB,73.3,241,4.68,20,36,117,4.16,7.2,0,0,Y
1999,barry gardner,Northwestern,ILB,72.4,242,4.72,25,33,113,4.32,7.42,0,0,Y
1999,marquis gibson,Missouri,OLB,74,227,4.68,15,33,115,4.3,7.39,0,0,N
1999,phil glover,Utah,OLB,71.6,239,4.7,26,36.5,116,4.36,7.67,0,0,Y
1999,lamont green,Florida,OLB,75,226,4.76,18,33,114,4.48,7.66,0,0,N
1999,warrick holdman,Texas A&M,OLB,74,233,4.69,16,35,123,4.06,7.22,0,0,Y
1999,kevin homer,Chadron State (NE),ILB,74.5,241,4.99,15,32.5,109,4.33,7.41,0,0,N
1999,terry houzah,Mississippi Valley State,ILB,73,238,4.84,18,33,115,4.37,7.56,0,0,N
1999,bobbie howard,Notre Dame,ILB,70,232,4.74,16,30,110,4.48,7.52,0,0,N
1999,matt hughes,Iowa,ILB,75,251,4.76,14,31,111,4.33,7.42,0,0,N
1999,olrick johnson,Florida A&M,ILB,71.5,246,4.92,27,29.5,100,4.24,7.73,0,0,N
1999,bryan jones,Oregon,OLB,76,210,4.61,12,35,118,4.28,7.21,0,0,Y
1999,chris jones,Clemson,OLB,70.1,228,4.72,21,24.5,106,4.48,7.64,0,0,Y
1999,andy katzenmoyer,Ohio State,ILB,74.6,258,4.68,23,,,,,1,1,Y
1999,jevon kearse,Florida,OLB,76.9,262,4.58,,37,122,4.24,,0,0,Y
1999,jeff kelly,Kansas State,ILB,72.1,256,4.95,16,32,112,4.37,7.65,1,1,Y
1999,chad kelsay,Nebraska,OLB,74.5,254,4.91,22,35.5,116,4.3,7.09,0,0,Y
1999,courtney ledyard,Michigan State,ILB,74,250,5.11,20,34.5,115,4.24,7.85,0,0,N
1999,kevin mccullar,Texas Tech,OLB,74.6,246,4.97,12,30,106,4.21,7.14,0,0,N
1999,cj mclain,Arkansas,OLB,75,243,4.72,21,36,117,4.25,7.2,0,0,N
1999,john mclaughlin,California,OLB,75.3,247,4.72,18,31.5,107,4.15,6.84,0,0,Y
1999,kory minor,Notre Dame,OLB,72.5,244,4.71,,31,112,4.27,7.2,0,0,Y
1999,hannibal navies,Colorado,OLB,74.5,239,4.64,18,33,114,4.19,,0,0,Y
1999,keith newman,North Carolina,ILB,74.5,239,4.73,18,32,110,4.37,7.54,0,0,Y
1999,dat nguyen,Texas A&M,ILB,71,234,4.74,19,,,,,1,1,Y
1999,kendell ogle,Maryland,OLB,72.8,235,4.67,20,35,118,4.05,7.44,0,0,N
1999,chike okeafor,Purdue,OLB,76.6,254,4.74,17,36.5,113,4.2,7.09,0,0,Y
1999,mike peterson,Florida,OLB,73.5,233,4.47,18,36,118,4.08,7.07,0,0,Y
1999,joey porter,Colorado State,OLB,74.5,241,4.68,27,39,122,4.41,7.37,0,0,Y
1999,wali rainer,Virginia,ILB,73.8,241,4.91,26,32,111,4.33,7.83,0,0,Y
1999,brian rogers,Oregon State,ILB,74.3,239,4.76,19,36,108,4.39,7.34,0,0,N
1999,orlando ruff,Furman (SC),ILB,74.1,248,4.99,22,33,113,4.33,7.4,0,0,N
1999,johnny rutledge,Florida,ILB,74,245,4.63,18,33,115,4.21,7.27,0,0,Y
1999,khari samuel,Massachusetts,ILB,74.4,242,4.76,24,35,116,4.34,7.56,0,0,Y
1999,brian smith,Alabama-Birmingham,OLB,73,252,4.96,21,32.5,107,4.67,7.84,0,0,N
1999,brandon southward,Colorado,ILB,76,242,4.88,20,30.5,110,4.38,7.49,0,0,N
1999,donnie spragan,Stanford,OLB,76,236,4.95,20,33,113,4.4,7.88,0,0,N
1999,mike stanec,Youngstown State (OH),ILB,75,241,4.66,29,38,118,4.34,7.24,0,0,N
1999,derik stevenson,Brigham Young,OLB,75.9,235,4.9,14,31,111,4.3,7.81,0,0,N
1999,gary stills,West Virginia,OLB,73.4,238,4.76,23,31.5,110,4.28,7.33,0,0,Y
1999,sam sword,Michigan,ILB,73.3,242,5.01,,,,4.34,7.8,0,0,N
1999,joe wesley,Louisiana State,ILB,73,229,4.72,15,33,114,4.29,7.6,0,0,N
1999,parc williams,Minnesota,OLB,75,239,4.97,14,33,114,4.27,7.25,0,0,N
1999,al wilson,Tennessee,ILB,71.8,239,4.56,17,33,116,4.25,7.31,1,1,Y
1999,mark word,Jacksonville State (AL),OLB,76.9,258,4.87,16,31.5,115,4.33,7.44,0,0,N
2000,corey atkins,South Carolina,OLB,72.4,237,4.76,21,31,112,4.39,7.96,0,0,N
2000,marcus bell,Arizona,ILB,73.6,237,4.8,21,31.5,111,4.33,7.17,0,0,Y
2000,keith bulluck,Syracuse,OLB,75,244,4.47,,38,119,4.13,7.33,0,0,Y
2000,danny clark,Illinois,ILB,74.1,245,4.77,20,,,,,0,0,Y
2000,dwan epps,Texas Southern,ILB,73,242,4.68,8,34.5,,,,0,0,N
2000,kabeer gbajabiamila,San Diego State,OLB,76,243,4.65,21,34,120,4.28,6.9,0,0,Y
2000,ian gold,Michigan,OLB,73.1,221,4.58,21,33,115,4.19,6.97,0,0,Y
2000,barrett green,West Virginia,OLB,73,233,4.56,22,36,120,,,0,0,Y
2000,clark haggans,Colorado State,OLB,75.4,253,5.01,20,31.5,109,4.21,7.12,0,0,Y
2000,dhani jones,Michigan,OLB,73.1,240,4.69,29,,,,,0,0,Y
2000,fred jones,Colorado,OLB,74,247,4.98,17,32,113,4.39,7.27,0,0,N
2000,dustin lyman,Wake Forest,ILB,76,259,4.7,22,35,118,4.06,6.86,0,0,Y
2000,keith miller,California,ILB,73.1,246,5.01,24,27.5,110,4.43,7.37,0,0,N
2000,corey moore,Virginia Tech,OLB,70.9,223,4.62,21,,,,,1,1,Y
2000,rob morris,Brigham Young,ILB,73.9,250,4.77,18,33,113,4.17,6.93,1,0,Y
2000,andre oneal,Marshall (WV),ILB,73.3,235,4.72,16,34,114,4.24,7.3,0,0,N
2000,cedric pittman,Nevada,OLB,75,261,4.9,20,30.5,111,4.52,7.75,0,0,N
2000,dashon polk,Arizona,OLB,73.9,233,4.77,18,32,111,4.45,7.43,0,0,Y
2000,sekou sanyika,California,OLB,75.3,241,4.75,21,32.5,111,4.38,7.33,0,0,Y
2000,mark simoneau,Kansas State,OLB,72,237,4.63,24,36,117,4.09,7.08,1,1,Y
2000,peter sirmon,Oregon,ILB,73.9,246,4.86,20,34.5,115,4.27,7.21,0,0,Y
2000,tj slaughter,Southern Mississippi,ILB,72.1,247,4.91,24,30,112,4.26,7.08,0,0,Y
2000,jamel smith,Virginia Tech,ILB,72.5,245,5.19,,29.5,108,4.58,7.51,0,0,N
2000,shannon taylor,Virginia,OLB,74.9,249,4.65,,34.5,115,,,0,0,Y
2000,jeff ulbrich,Hawaii,ILB,72.4,249,4.7,24,32,109,4.3,7.23,0,0,Y
2000,brian urlacher,New Mexico,OLB,75.9,258,4.61,27,34,122,4.18,6.94,1,1,Y
2000,marcus washington,Auburn,OLB,75.3,252,4.7,,35,118,4.49,6.91,0,0,Y
2000,antonio wilson,Texas A&M-Commerce,OLB,74,245,4.56,11,,,,,0,0,Y
2001,keith adams,Clemson,OLB,70.6,219,4.81,24,,104,,,1,1,Y
2001,brian allen,Florida State,OLB,72.1,238,4.65,25,,,,,0,0,Y
2001,kendrell bell,Georgia,ILB,73.3,234,4.62,24,38.5,124,4.5,7.25,0,0,Y
2001,roylin bradley,Texas A&M,OLB,73.1,243,4.67,19,34,116,4.28,7.16,0,0,N
2001,quinton caver,Arkansas,ILB,75.9,227,4.66,23,37.5,118,4.25,7.66,0,0,Y
2001,patrick chukwurah,Wyoming,OLB,73.6,238,4.75,24,40,119,4.21,7.34,0,0,Y
2001,rick crowell,Colorado State,OLB,74.8,242,5,19,31.5,109,4.35,7.54,1,0,Y
2001,jason glenn,Texas A&M,OLB,72.6,236,4.93,14,36,115,4.31,7.16,0,0,Y
2001,morlon greenwood,Syracuse,OLB,72.4,237,4.61,21,33.5,112,4.08,7.62,0,0,Y
2001,edgerton hartwell,Western Illinois,ILB,73,250,4.86,18,36.5,114,4.56,7.64,0,0,Y
2001,sedrick hodge,North Carolina,OLB,75.8,244,4.48,21,32,120,4.09,,0,0,Y
2001,orlando huff,Frenso State (CA),OLB,74.4,245,4.7,16,,,,,0,0,Y
2001,alex lincoln,Auburn,ILB,72.1,251,4.79,22,35,111,,,0,0,Y
2001,jeremiah pharms,Washington,OLB,72.5,257,4.88,,32.5,106,4.53,7.37,0,0,Y
2001,carlos polk,Nebraska,ILB,74.1,251,4.72,,,,,,0,0,Y
2001,anthony sessions,Tennessee,OLB,71.8,228,4.78,19,,,,,0,0,N
2001,brandon spoon,North Carolina,ILB,74.4,245,4.73,33,35.5,110,4.15,7.3,0,0,Y
2001,markus steele,Southern California,OLB,74.9,232,4.62,,33,119,4.5,7.15,0,0,Y
2001,matt stewart,Vanderbilt,OLB,75.6,236,4.75,23,37,117,4.2,7.08,0,0,Y
2001,tj turner,Michigan State,ILB,74.6,273,4.75,,,,,,0,0,Y
2001,eric westmoreland,Tennessee,OLB,71.6,236,4.65,21,36.5,115,4.21,7.47,0,0,Y
2001,jamie winborn,Vanderbilt,ILB,71,229,4.63,,35.5,111,,,0,0,Y
2002,james allen,Oregon State,OLB,74.6,240,4.63,24,38,120,4.21,7.59,0,0,Y
2002,akin ayodele,Purdue,OLB,74.1,257,4.86,26,35,119,4.12,7,0,0,Y
2002,kevin bentley,Northwestern,OLB,72.4,243,4.72,23,39,113,3.83,6.71,0,0,Y
2002,rocky boiman,Notre Dame,OLB,75.8,242,4.61,17,35,118,4.05,6.86,0,0,Y
2002,courtland bullard,Ohio State,OLB,75,234,4.62,,36.5,120,4.28,6.99,0,0,Y
2002,jamie burrow,Nebraska,ILB,72.8,249,4.89,18,30.5,98,4.21,7.28,0,0,N
2002,rocky calmus,Oklahoma,OLB,75.1,243,4.69,16,,,,,1,1,Y
