year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,rushatt,rushyds,rushypa,rushtds,hasbling,allamerican,hasawards,heisman,drafted
2008,marcus thomas,Texas-El Paso,RB,72.25,213,4.62,21,30,116,,,569,2615,4.6,26,0,0,0,0,Y
2008,ryan torain,Arizona State,RB,72.38,222,4.68,21,34,120,,,333,1782,5.4,12,0,0,0,0,Y
2009,kahlil bell,UCLA,RB,70.75,212,4.74,15,34.5,114,4.2,6.87,395,1741,4.4,17,0,0,0,0,N
2009,marquez branson,Central Arkansas,FB,74.13,247,4.69,22,35,109,,,,,,,0,0,0,0,N
2009,andre brown,North Carolina State,RB,72.13,224,4.37,24,37,115,4.33,7.35,523,2539,4.9,22,0,0,0,0,Y
2009,donald brown,Connecticut,RB,70.25,210,4.46,,41.5,125,4.1,6.93,698,3800,5.4,33,1,0,1,0,Y
2009,james casey,Rice (TX),FB,75,246,4.74,28,36,111,4.48,7,102,362,3.5,11,0,0,0,0,Y
2009,glen coffee,Alabama,RB,72.13,209,4.5,24,36,121,4.51,7.35,410,2107,5.1,14,0,0,0,0,Y
2009,jason cook,Mississippi,FB,71.25,244,4.71,21,,,,,6,12,2,0,0,0,0,0,N
2009,james davis,Clemson,RB,71,218,4.55,17,32,109,4.37,7.15,753,3881,5.2,47,0,0,0,0,Y
2009,tony fiammetta,Syracuse,FB,72.13,245,4.58,30,34,112,4.49,7.31,16,89,5.6,0,0,0,0,0,Y
2009,arian foster,Tennessee,RB,72.75,226,4.68,23,,,,,650,2964,4.6,23,0,0,0,0,N
2009,mike goodson,Texas A&M,RB,71.88,208,4.46,14,39.5,118,4.22,6.89,374,1964,5.3,13,0,0,0,0,Y
2009,shonn greene,Iowa,RB,70.5,227,4.62,19,37,121,4.4,7.1,376,2228,5.9,22,1,1,1,0,Y
2009,rashad jennings,Liberty (VA),RB,73,231,4.59,29,34,120,4.2,6.86,86,411,4.8,1,0,0,0,0,Y
2009,david johnson,Arkansas State,FB,73.5,260,4.73,21,32.5,113,4.43,7.28,,,,,0,0,0,0,Y
2009,gartrell johnson,Colorado State,RB,70.25,219,4.75,20,34,114,,,472,2471,5.2,18,0,0,0,0,Y
2009,ian johnson,Boise State,RB,71.25,212,4.41,26,33,116,4.18,6.93,753,4183,5.6,58,0,0,0,0,N
2009,jeremiah johnson,Oregon,RB,68.88,209,4.62,20,35,115,,,349,2336,6.7,30,0,0,0,0,N
2009,quinn johnson,Louisiana State,FB,72.75,246,4.82,16,32,115,,,16,34,2.1,3,0,0,0,0,Y
2009,anthony kimble,Stanford,RB,72.25,216,4.6,17,36,122,4.4,7.08,415,1940,4.7,18,0,0,0,0,N
2009,marlon lucky,Nebraska,RB,71.38,216,4.5,18,33.5,114,,7.1,515,2393,4.6,22,0,0,0,0,N
2009,marcus mailei,Weber State (UT),FB,71.75,248,4.87,22,35,113,4.33,7.36,,,,,0,0,0,0,N
2009,knowshon moreno,Georgia,RB,70.63,217,4.5,25,35.5,115,4.27,6.84,498,2734,5.5,30,0,0,0,0,Y
2009,chris ogbonnaya,Texas,RB,71.75,220,4.57,19,35,111,4.29,6.85,140,597,4.3,8,0,0,0,0,Y
2009,branden ore,West Liberty (WV),RB,70.88,214,4.61,21,36,112,4.44,7.35,617,2776,4.5,31,0,0,0,0,N
2009,cedric peerman,Virginia,RB,69.5,216,4.34,27,40,117,4.29,6.99,382,1749,4.6,15,0,0,0,0,Y
2009,javon ringer,Michigan State,RB,69.13,205,4.55,23,34,115,4.11,6.87,843,4398,5.2,34,1,1,1,0,Y
2009,bernard scott,Abilene Christian (TX),RB,70.25,200,4.44,21,36,125,4.08,6.82,,,,,0,0,0,0,Y
2009,kory sheets,Purdue,RB,71.13,208,4.39,15,37,121,4.39,7.18,664,3341,5,48,0,0,0,0,N
2009,brannan southerland,Georgia,FB,72,242,4.69,28,38,120,4.4,7.4,83,170,2,17,0,0,0,0,N
2009,tyrell sutton,Northwestern,RB,68,211,4.68,,33,114,4.32,6.94,731,3886,5.3,31,0,0,0,0,N
2009,chris wells,Ohio State,RB,73,235,4.52,25,33.5,128,,,585,3382,5.8,30,0,0,0,0,N
2009,eddie williams,Idaho,FB,73,239,4.79,23,,,,,19,195,10.3,3,0,0,0,0,Y
2009,javarris williams,Tennessee State,RB,70,223,4.51,25,33.5,116,,,,,,,0,0,0,0,Y
2010,joique bell,Wayne State (MI),RB,71.25,220,4.68,,36.5,120,4.17,6.84,,,,,0,0,0,0,N
2010,jahvid best,California,RB,70.13,199,4.34,18,32.5,113,4.17,6.75,364,2668,7.3,29,0,0,0,0,Y
2010,legarrette blount,Oregon,RB,72.5,241,4.7,18,35,117,4.49,6.85,159,1084,6.8,19,0,0,0,0,N
2010,chris brown,Oklahoma,RB,70.38,210,4.55,17,36,115,,,627,2923,4.7,42,0,0,0,0,N
2010,john conner,Kentucky,FB,71.13,246,4.64,24,35,111,4.32,7.15,54,247,4.6,4,0,0,0,0,Y
2010,andre dixon,Connecticut,RB,72.75,205,4.56,,40,117,4.19,6.99,415,1958,4.7,17,0,0,0,0,N
2010,anthony dixon,Mississippi State,RB,72.75,233,4.67,15,33,121,4.49,7.09,910,3994,4.4,42,0,0,0,0,Y
2010,jonathan dwyer,Georgia Tech,RB,71.25,229,4.64,15,33,107,4.67,7.56,517,3226,6.2,35,1,0,1,0,Y
2010,riar geer,Colorado,FB,74.88,256,5,13,33,106,4.29,7.13,,,,,0,0,0,0,N
2010,toby gerhart,Stanford,RB,72,231,4.5,22,38,118,4.25,6.94,671,3522,5.2,44,1,1,1,0,Y
2010,clay harbor,Missouri State,FB,74.63,252,4.62,30,40,120,4.37,,,,,,0,0,0,0,Y
2010,montario hardesty,Tennessee,RB,71.75,225,4.49,21,41,124,4.14,6.87,560,2391,4.3,26,0,0,0,0,Y
2010,rashawn jackson,Virginia,FB,73,239,4.75,,34.5,117,,,132,595,4.5,2,0,0,0,0,N
2010,brandon james,Florida,RB,67,186,4.47,14,,,,,61,302,5,2,1,1,1,0,N
2010,javarris james,Miami (FL),RB,73,215,4.58,21,36,115,,,505,2162,4.3,18,0,0,0,0,N
2010,stafon johnson,Southern California,RB,70.88,214,4.62,13,35.5,118,,,271,1552,5.7,19,0,0,0,0,N
2010,darius marshall,Marshall (WV),RB,69.25,190,4.59,14,35.5,109,4.39,,574,2857,5,19,0,0,0,0,N
2010,ryan mathews,Frenso State (CA),RB,71.63,218,4.37,19,36,121,4.33,7,,,,,0,0,0,0,Y
2010,joe mcknight,Southern California,RB,71.38,198,4.4,18,36.5,120,,,347,2213,6.4,13,0,0,0,0,Y
2010,shawnbrey mcneal,Southern Methodist (TX),RB,69.13,194,4.53,14,36,117,,,269,1340,5,15,0,0,0,0,N
2010,lonyae miller,Frenso State (CA),RB,71.5,221,4.43,26,36.5,120,4.54,7.2,374,2062,5.5,20,0,0,0,0,N
2010,pat paschall,North Dakota State,RB,71.63,209,4.65,15,38.5,118,4.33,7.02,,,,,0,0,0,0,N
2010,charles scott,Louisiana State,RB,71.38,238,4.68,,30.5,111,4.47,6.98,424,2317,5.5,32,0,0,0,0,Y
2010,cj spiller,Clemson,RB,70.63,196,4.27,18,,,,,606,3547,5.9,32,1,1,1,0,Y
2010,james starks,Buffalo,RB,74.13,218,4.5,15,36,119,4.23,6.89,698,3140,4.5,34,0,0,0,0,N
2010,ben tate,Auburn,RB,71,220,4.34,26,40.5,124,4.12,6.91,678,3321,4.9,24,0,0,0,0,Y
2010,manase tonga,Brigham Young,FB,71,245,4.84,19,32,105,4.69,7.44,178,678,3.8,16,0,0,0,0,N
2010,keith toston,Oklahoma State,RB,71.75,213,4.66,22,32,110,4.67,,473,2725,5.8,27,0,0,0,0,N
