year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,hasbling,allamerican,hasawards,drafted
1999,russell davis,North Carolina,DT,75.6,294,4.94,27,27.5,104,4.56,8.06,0,0,0,Y
1999,jared devries,Iowa,DT,75.8,279,4.95,24,32.5,111,4.14,7.28,1,1,1,Y
1999,adrian dingle,Clemson,DE,74.5,290,4.94,20,33,112,4.4,7.43,0,0,0,Y
1999,antonio dingle,Virginia,DT,73.9,320,5.28,22,31,102,4.85,8.12,0,0,0,Y
1999,charles dorsey,Auburn,DT,74,283,4.93,24,31,112,4.52,7.48,0,0,0,N
1999,ebenezer ekuban,North Carolina,DE,75.4,281,4.69,,32,112,4.39,7.36,0,0,0,Y
1999,justin ernest,Eastern Kentucky,DT,75,281,4.79,51,31,113,4.24,7.37,0,0,0,N
1999,dan falcon,Western Michigan,DT,74,274,4.77,23,33,113,4.19,7.21,0,0,0,N
1999,bryce fisher,Air Force,DE,75.6,283,4.98,19,31,106,4.34,7.64,1,0,1,Y
1999,kelly gregg,Oklahoma,DT,72.4,302,5.34,26,24,96,4.45,7.72,0,0,0,Y
1999,ryan hale,Arkansas,DT,76.3,295,5.2,8,30.5,104,4.38,7.63,0,0,0,Y
1999,derrick ham,Miami (FL),DE,76.1,257,4.94,24,28.5,101,4.54,7.84,0,0,0,N
1999,gary holmes,Washington State,DT,78.6,319,5.22,26,,,,,0,0,0,N
1999,chris hood,Alabama,DT,73,281,5.16,17,26,100,4.8,8.1,0,0,0,N
1999,cletidus hunt,Kentucky State,DT,76.1,293,5.03,17,31.5,110,4.73,8.08,0,0,0,Y
1999,garrett johnson,Illinois,DT,75,286,5.16,22,28,104,4.45,7.74,0,0,0,N
1999,patrick kerney,Virginia,DE,77.6,266,4.72,21,31,111,4.42,7.45,0,0,0,Y
1999,lamar king,Saginaw Valley State (MI),DE,75,299,4.77,22,30,105,4.28,7.4,0,0,0,Y
1999,steve konopka,C.W. Post (NY),DT,76,298,5.14,21,27,106,4.55,7.9,0,0,0,N
1999,kevin landolt,West Virginia,DT,76.9,298,5.14,17,27,108,4.27,7.57,0,0,0,Y
1999,emarlos leroy,Georgia,DT,73.4,306,5.09,31,,,,,0,0,0,Y
1999,jonathan mccall,Central Michigan,DE,74,273,4.91,19,31,113,4.38,7.41,0,0,0,N
1999,anthony mcfarland,Louisiana State,DT,72.5,299,4.85,25,28.5,108,4.28,7.98,0,0,0,Y
1999,reggie mcgrew,Florida,DT,73.9,307,5.05,30,,,4.34,,0,0,0,Y
1999,arnold miller,Louisiana State,DE,75.9,240,4.78,12,33.5,113,4.12,7.01,0,0,0,N
1999,robert newkirk,Michigan State,DT,75,298,5.21,20,26,105,4.73,8.08,0,0,0,N
1999,patterson owens,Houston,DE,78,273,4.88,19,35,118,4.34,7.56,0,0,0,N
1999,chad pegues,Illinois State,DT,73,289,5.32,25,26,99,4.69,7.88,0,0,0,N
1999,mike pringley,North Carolina,DE,75.8,268,4.89,22,,108,4.39,7.85,0,0,0,Y
1999,montae reagor,Texas Tech,DE,73.5,263,4.83,20,34.5,107,4.23,7.36,1,1,1,Y
1999,mike rucker,Nebraska,DE,76.8,260,4.86,17,33.5,108,4.33,7.4,0,0,0,Y
1999,talance sawyer,Nevada Las Vegas,DE,74,268,4.89,23,31.5,112,4.35,7.8,0,0,0,Y
1999,brad scioli,Penn State,DE,75,277,4.93,23,33.5,108,4.27,7.37,0,0,0,Y
1999,andre slappey,Albany State (GA),DT,76.9,302,5.77,19,25.5,96,4.94,8.72,0,0,0,N
1999,aaron smith,Northern Colorado,DE,77.1,279,5.08,19,29.5,110,4.34,7.48,0,0,0,Y
1999,larry smith,Florida State,DT,77,288,5.12,22,30,111,4.39,7.72,0,0,0,Y
1999,marcus spriggs,Troy (AL),DT,76.5,297,5.24,25,27.5,97,4.6,8.05,0,0,0,Y
