year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,isbuilt,drafted
2000,arturo freeman,South Carolina,FS,72.4,188,4.58,14,35.5,124,4.38,6.91,0,Y
2000,trent gamble,Wyoming,FS,69.3,186,4.58,21,37,124,3.9,6.6,0,N
2000,deon grant,Tennessee,SS,73.8,209,4.5,15,,,,,1,Y
2000,mike green,Northwestern State (LA),FS,72.1,189,4.56,,38.5,118,4.2,,0,Y
2000,brandon jennings,Texas A&M,FS,72.4,198,4.54,16,38,123,4.14,6.91,0,N
2000,eric johnson,Nebraska,SS,72,215,4.63,12,38,121,4.17,6.96,1,N
2000,tinker keck,Cincinnati,SS,73.3,200,4.58,15,36.5,120,4.31,6.96,1,N
2000,kenoy kennedy,Arkansas,FS,73,221,4.71,8,33.5,113,4.38,7.08,1,Y
2000,sean key,Florida State,FS,70.6,188,4.67,,,,4.2,7.12,0,N
2000,aric morris,Michigan State,SS,69.4,211,4.56,24,,,,,0,Y
2000,bobby myers,Wisconsin,FS,73.3,183,4.59,,37.5,123,4.1,7.04,0,Y
2000,erik olson,Colorado,SS,73,208,4.63,17,35,115,4.21,6.81,1,Y
2000,dwyte smiley,Youngstown State (OH),FS,73,198,4.61,13,35,115,4.29,7.18,0,N
2000,travares tillman,Georgia Tech,FS,73.3,194,4.6,15,37.5,123,4.29,6.95,0,Y
2000,jack williams,Azusa Pacific (CA),SS,70.3,206,4.74,15,31.5,108,4.65,7.15,0,N
2001,adam archuleta,Arizona State,SS,71.9,211,4.46,31,,,,,0,Y
2001,idrees bashir,Memphis,FS,74.3,206,4.55,22,40,126,4.2,7.14,1,Y
2001,cory bird,Virginia Tech,SS,70.3,217,4.6,22,,,,,0,Y
2001,randy black,Nevada Las Vegas,SS,71.9,205,4.71,,35.5,115,4.2,7.14,0,N
2001,james boyd,Penn State,SS,71,207,4.59,,32.5,117,4.24,7.29,0,Y
2001,robert carswell,Clemson,FS,71.9,214,4.59,21,34,106,4.18,7.14,0,Y
2001,jarrod cooper,Kansas State,SS,72.5,222,4.43,,41.5,130,3.9,6.87,1,Y
2001,tony dixon,Alabama,SS,73.1,213,4.57,17,37,117,,7.38,1,Y
2001,shawn forte,Maryland,FS,72.8,204,4.54,20,,,,,1,N
2001,curtis fuller,Texas Christian,FS,69.9,186,4.43,18,36,114,4.21,7.2,0,Y
2001,derrick gibson,Florida State,SS,73.6,218,4.45,17,,,,,1,Y
2001,corey hall,Appalachian State (NC),FS,75.5,198,4.52,14,36.5,127,,,0,Y
2001,shaunard harts,Boise State,SS,71.6,200,4.51,12,34.5,119,,7.14,0,Y
2001,john howell,Colorado State,FS,71.6,204,4.6,14,37,121,4.12,6.87,0,Y
2001,michael jameson,Texas A&M,FS,71.4,186,4.48,9,34.5,118,4.2,7.13,0,Y
2001,marlon mccree,Kentucky,SS,71,197,4.6,10,38,117,4.1,7.36,0,Y
2001,carl nesmith,Kansas,FS,74,223,4.95,5,31.5,112,,,1,N
2001,richard newsome,Michigan State,FS,70.6,203,4.59,14,,,,,0,N
2001,ifeanyi ohalete,Southern California,FS,73.6,221,4.64,16,,,,,1,N
2001,emile white,Houston,SS,72.1,219,4.65,16,34.5,111,,7.26,1,N
2001,adrian wilson,North Carolina State,SS,74.4,213,4.55,21,39.5,120,,,1,Y
2002,marques anderson,UCLA,SS,71,213,4.52,16,39.5,124,,,0,Y
2002,terreal bierria,Georgia,FS,74.6,216,4.56,18,36,129,4.1,6.93,1,Y
2002,sam brandon,Nevada Las Vegas,FS,74,199,4.72,,36.5,124,,,0,Y
2002,jack brewer,Minnesota,FS,72,194,4.57,12,37,120,4.24,6.9,0,N
2002,kevin curtis,Texas Tech,FS,73.6,212,4.54,24,37.5,123,3.88,6.75,1,Y
2002,dan dawson,Rice (TX),SS,73,219,4.64,24,38,121,4,6.75,1,N
2002,bobby gray,Louisiana Tech,SS,72.1,209,4.66,24,,111,,,1,Y
2002,quentin harris,Syracuse,FS,73,216,4.61,14,36.5,120,4.34,7.59,1,N
2002,jason hebert,Rice (TX),FS,71.4,190,4.63,15,35.5,115,3.86,7.12,0,N
2002,chris hope,Florida State,FS,71.6,210,4.56,28,,112,,,0,Y
2002,abdual howard,Florida State,SS,72,209,4.63,,,117,,,1,N
2002,ron isreal,Notre Dame,SS,73,213,4.6,20,,121,,,1,N
2002,bobby jackson,Illinois,SS,72.4,216,4.74,,34.5,120,4.16,7.01,1,N
2002,stephon kelly,Winston-Salem State (NC),SS,74.6,212,4.67,15,32.5,117,4.1,7.26,1,N
2002,michael lewis,Colorado,SS,73.1,211,4.56,16,36.5,121,4.14,6.96,1,Y
2002,wesly mallard,Oregon,SS,73.6,221,4.52,22,41,118,4.07,6.81,1,N
2002,marquand manuel,Florida,SS,72,209,4.52,18,,,,,1,Y
2002,jon mcgraw,Kansas State,SS,75.1,208,4.48,13,39.5,123,3.92,6.51,1,Y
2002,mel mitchell,Western Kentucky,FS,73.1,220,4.59,15,35,126,4.15,7,1,Y
2002,willie offord,South Carolina,SS,73.6,215,4.61,22,35,116,,,1,Y
2002,jermaine phillips,Georgia,FS,73.1,214,4.65,18,31.5,113,,,1,Y
2002,rick sherrod,West Virginia,FS,73.8,192,4.58,,37,115,4.11,7.09,0,N
2002,steve smith,Oregon,SS,72.6,193,4.6,,30.5,107,4.22,7,0,Y
2002,lamont thompson,Washington State,FS,73.1,220,4.56,12,33.5,116,,,1,Y
2002,chad williams,Southern Mississippi,SS,69.5,207,4.5,20,36.5,120,,6.96,0,Y
2002,roy williams,Oklahoma,SS,72.4,219,4.53,13,30.5,111,,,1,Y
2002,tank williams,Stanford,FS,74.4,222,4.41,19,38.5,119,3.93,6.78,1,Y
2002,coy wire,Stanford,SS,71.8,209,4.56,28,38.5,118,3.87,6.62,0,Y
2002,chris young,Georgia Tech,SS,71.9,210,4.6,23,36.5,120,,,0,Y
2003,colin branch,Stanford,FS,71.8,203,4.43,22,36,119,,,0,Y
2003,chris brown,Hawaii,FS,73,195,4.59,15,35.5,126,4.13,7.05,0,Y
2003,curry burns,Louisville,SS,72.4,216,4.55,19,36,120,4.1,7.03,1,Y
2003,charles drake,Michigan,FS,73,205,4.52,20,,,,,1,Y
2003,anthony floyd,Louisville,FS,69.5,202,4.6,19,33.5,117,4.18,7.09,0,N
2003,ken hamlin,Arkansas,FS,74.5,209,4.6,16,33,117,3.92,6.78,1,Y
2003,terrence holt,North Carolina State,FS,73.8,208,4.63,13,34.5,122,3.97,6.99,1,Y
2003,todd johnson,Florida,FS,72.9,206,4.58,19,33.5,117,4.17,6.99,1,Y
2003,cato june,Michigan,SS,72.1,218,4.66,,35,113,,,1,Y
2003,terrence kiel,Texas A&M,SS,71.1,204,4.49,16,38,127,3.92,6.87,0,N
2003,norman lejeune,Louisiana State,SS,72.4,200,4.65,11,33.5,115,4.21,7.41,1,Y
2003,rashean mathis,Bethune-Cookman (FL),FS,72.8,202,4.47,22,38.5,123,4.15,7.08,1,Y
2003,hanik milligan,Houston,FS,74.4,201,4.5,9,36.5,130,4.18,7.09,1,Y
2003,donnie nickey,Ohio State,FS,74.3,220,4.64,17,33.5,119,4.15,7.08,1,Y
2003,derek pagel,Iowa,FS,73,208,4.53,25,35.5,115,4.03,6.85,1,Y
2003,willie pile,Virginia Tech,FS,74,206,4.58,14,38,125,4.04,6.75,1,Y
2003,antwoine sanders,Utah,FS,73.6,202,4.56,14,37.5,128,4.37,7.43,1,Y
2003,gerome sapp,Notre Dame,SS,72.1,216,4.69,,36.5,112,4.27,7.13,1,Y
2003,bryan scott,Penn State,SS,73,219,4.6,13,,,,,1,Y
2003,thomas wright,Michigan State,SS,73.4,201,4.79,13,36,114,4.38,7.41,1,N
2004,rashad baker,Tennessee,FS,70.5,204,4.55,21,36,117,4.12,7.19,0,N
2004,tony bua,Arkansas,SS,71.3,209,4.65,15,36,120,4.08,6.75,0,Y
2004,erik coleman,Washington State,FS,70.5,200,4.62,16,35.5,117,4.14,7.03,0,Y
2004,kentrell curry,Georgia,FS,73,201,4.63,17,34.5,127,,,1,N
2004,daryl dixon,Florida,FS,69.6,195,4.75,15,35.5,118,,,0,N
2004,glenn earl,Notre Dame,SS,73.1,222,4.65,20,,,,,1,Y
2004,deandre eiland,South Carolina,FS,71.5,202,4.54,17,35,113,4.27,7.19,0,Y
2004,keith lewis,Oregon,FS,72.5,204,4.58,11,37,121,4.07,7.28,1,Y
2004,arnold parker,Utah,SS,73.9,213,4.52,18,35.5,120,4.12,6.98,1,N
2004,etric pruitt,Southern Mississippi,FS,72.1,197,4.59,,39.5,116,4,7.15,0,Y
2004,bob sanders,Iowa,SS,68.4,204,4.4,15,41.5,128,3.91,6.7,0,Y
2004,stuart schweigert,Purdue,FS,74,218,4.45,18,38,124,3.89,6.68,1,Y
2004,guss scott,Florida,SS,70.4,204,4.49,20,39,124,,,0,Y
2004,jason shivers,Arizona State,FS,72.5,201,4.53,19,36,128,,,1,Y
2004,matt ware,UCLA,FS,74.4,209,4.54,15,,,,,1,Y
2004,rashad washington,Kansas State,FS,74.1,223,4.61,14,34,116,4.02,7.06,1,Y
2004,madieu williams,Maryland,FS,72.4,193,4.5,18,,125,,,0,Y
2004,quintin williams,Wake Forest,FS,71.5,207,4.61,21,37,122,4.09,7.28,0,N
2004,virgil williams,Washington State,SS,72.9,196,4.66,11,,,,,0,N
2004,gibril wilson,Tennessee,SS,72.1,197,4.47,15,,120,,,0,Y
2004,marcus winn,Alabama State,SS,72.3,223,4.86,21,,,,,1,N
2005,hamza abdullah,Washington State,SS,74,214,4.65,18,39,114,,6.94,1,Y
2005,oj atogwe,Stanford,FS,71,219,4.57,22,,,,,0,N
2005,justin beriault,Ball State (IN),FS,74.8,204,4.57,14,39.5,124,3.8,6.92,1,Y
2005,atari bigby,Central Florida,SS,70.8,214,4.65,19,35,106,4.1,7,0,N
2005,patrick body,Toledo,FS,74,196,4.36,,,,,,0,N
2005,jamaal brimmer,Nevada Las Vegas,SS,73.4,216,4.87,16,32,108,4.63,7.78,1,N
2005,josh bullocks,Nebraska,FS,72,209,4.49,,37.5,116,4.08,7.09,1,Y
2005,james butler,Georgia Tech,FS,73.9,213,4.58,16,40.5,127,3.98,7.1,1,N
2005,jerome carter,Florida State,SS,71.4,220,4.49,21,35,116,4.04,7.18,0,Y
2005,sean considine,Iowa,FS,72.1,212,4.53,19,37,116,3.92,7.09,1,Y
2005,atcheson conway,Bowie State (MD),SS,70.4,219,4.95,14,32,108,4.1,7.38,0,N
