player,college,position,height,weight
"Jennings, Gary",West Virginia,WR,6-1,214
"Udoh, Oli",Elon,OL,6-5,323
"Ivey, Martez",Florida,OL,6-5,315
"Warring, Kahale",San Diego St.,TE,6-5,252
"Raymond, Dax",Utah St.,TE,6-5,255
"Hill, Trysten",UCF,DL,6-3,308
"Renfrow, Hunter",Clemson,WR,5-10,184
"Cashman, Blake",Minnesota,LB,6-1,237
"Burr-Kirven, Ben",Washington,LB,6-0,230
"Durham, Landis",Texas A&M,EDGE,6-2,251
"Ledbetter, Jonathan",Georgia,DL,6-4,280
"Moreland, Jimmy",James Madison,CB,5-10,179
"Cheevers, Hamp",Boston College,CB,5-9,169
"Russell, Dontavius",Auburn,DL,6-3,319
"Wise, Daniel",Kansas,DL,6-3,281
"Morgan, Stanley",Nebraska,WR,6-0,202
"Smith, Cameron",USC,LB,6-2,238
"Tavai, Jahlani",Hawaii,LB,6-2,250
"Huggins, Albert",Clemson,DL,6-3,305
"Harris, Will",Boston College,S,6-1,207
"Moore, Jalin",App. St.,RB,5-10,212
"Denis, Lukas",Boston College,S,5-11,190
"Wesley, Antoine",Texas Tech,WR,6-4,206
"Ray, Wyatt",Boston College,EDGE,6-3,257
"Hurd, Jalen",Baylor,WR,6-5,226
"Scarlett, Jordan",Florida,RB,5-11,208
"Hodge, Khalil",Buffalo,LB,6-1,234
"Homer, Travis",Miami (Fla.),RB,5-10,201
"Armstead, Ryquell",Temple,RB,5-11,220
"Pollard, Tony",Memphis,RB,6-0,210
"Doss, Keelan",UC Davis,WR,6-2,211
"Brown, Blace",Troy,CB,6-0,194
"Ferguson, Jazz",Northwestern State,WR,6-5,227
"Ozigbo, Devine",Nebraska,RB,5-11,230
"Fenton, Rashad",South Carolina,CB,5-11,193
"Pipkins, Trey",Sioux Falls,OL,6-6,309
"Adams, Paul",Missouri,OL,6-6,317
"Williams, Preston",Colorado St.,WR,6-4,211
"Fulgham, Travis",Old Dominion,WR,6-2,215
"Giles-Harris, Joe",Duke,LB,6-2,234
"Brown, Jordan",South Dakota State,CB,6-0,201
"Alexander, Ed",LSU,DL,6-1,319
"Lewis-Marshall, Iman",USC,CB,6-1,207
"Peters, Jamal",Miss. State,CB,6-2,218
"Connelly, Ryan",Wisconsin,LB,6-2,242
"Van Ginkel, Andrew",Wisconsin,LB,6-3,241
"Gant, Malik",Marshall,S,6-0,209
"Baity, Derrick",Kentucky,CB,6-2,197
"Godwin, Terry",Georgia,WR,5-11,184
"Cowart, Byron",Maryland,DL,6-3,298
"Hills, Wes",Slippery Rock,RB,6-2,218
"Johnson, Gary",Texas,LB,6-0,226
"Wesley, Alex",Northern Colorado,WR,6-0,190
"Keke, Kingsley",Texas A&M,DL,6-3,288
"Dortch, Greg",Wake Forest,WR,5-7,173
"Johnson, Diontae",Toledo,WR,5-10,183
"Hollins, Justin",Oregon,EDGE,6-5,248
"Miller, Jordan",Washington,CB,6-1,186
"Patterson, Javon",Ole Miss,OL,6-3,307
"Gentry, Zach",Michigan,TE,6-8,265
"Givens, Kevin",Penn St.,DL,6-1,285
"Allen, Dakota",Texas Tech,LB,6-1,232
"Sweet, William",North Carolina,OL,6-6,313
"Fields, Mark",Clemson,CB,5-10,192
"Rypien, Brett",Boise St.,QB,6-2,210
"Tauaefa, Josiah",UT-San Antonio,LB,6-1,240
"Minshew, Gardner",Washington St.,QB,6-1,225
"Wingard, Andrew",Wyoming,S,6-0,209
"Okeke, Chidi",Tennessee State,OL,6-5,315
"Dixon, D'Cota",Wisconsin,S,5-10,204
"West, Darius",Kentucky,S,5-11,208
"Johnson, KeeSean",Fresno St.,WR,6-1,201
"Takitaki, Sione",BYU,LB,6-1,238
"Austin, Blessuan",Rutgers,CB,6-1,198
"Barton, Cody",Utah,LB,6-2,237
"Davis, Jamal",Akron,EDGE,6-3,243
"Jones, Tyler",NC State,OL,6-3,306
"Anderson, Bruce",North Dakota State,RB,5-11,208
"Ratliff-Williams, Anthony",North Carolina,WR,6-1,205
"Bars, Alex",Notre Dame,OL,6-6,312
"Parham, Donald",Stetson,TE,6-8,237
"Bates, Ryan",Penn St.,OL,6-4,306
"Tracy, Cole",LSU,K,5-10,184
"Barton, Jackson",Utah,OL,6-7,310
"Webster, Ken",Ole Miss,CB,5-11,203
"Smith, Sutton",N. Illinois,EDGE,6-0,233
"Brossette, Nick",LSU,RB,5-11,209
"Davis, Deshaun",Auburn,LB,5-11,234
"Hartage, Montre",Northwestern,CB,5-11,190
"Smith, Jaylen",Louisville,WR,6-2,219
"Bledsoe, Amani",Oklahoma,DL,6-5,283
"Willis, Khari",Michigan St.,S,5-11,213
"Worthington, Evan",Colorado,S,6-2,212
"Walker, Ricky",Virginia Tech,DL,6-2,304
"Williams, James",Washington St.,RB,5-9,197
"Thompson, Darwin",Utah St.,RB,5-8,190
"Hampton, Saquan",Rutgers,S,6-1,206
"Ollison, Qadree",Pittsburgh,RB,6-1,228
"Ejiya, E.J.",North Texas,LB,6-2,230
"Davis, Felton",Michigan St.,WR,6-3,211
"Johnson, PJ",Arizona,DL,6-3,335
"James, Andre",UCLA,OL,6-4,299
"Froholdt, Hjalte",Arkansas,OL,6-5,306
"Dogbe, Michael",Temple,DL,6-3,275
"Wishnowsky, Mitch",Utah,P,6-2,218
"Joseph, Kendall",Clemson,LB,6-0,233
"Kaufusi, Corbin",BYU,DL,6-8,285
"Roemer, Tyler",San Diego St.,OL,6-6,312
"Hall, Nate",Northwestern,LB,6-2,225
"Stallings, Bunchy",Kentucky,OL,6-3,305
"Dixon, Johnnie",Ohio St.,WR,5-10,201
"Blanton, Kendall",Missouri,TE,6-6,262
"Johnson, Ty",Maryland,RB,5-10,208
"Mattison, Alexander",Boise St.,RB,5-11,221
"Dodson, Tyrel",Texas A&M,LB,6-0,237
"Autry, B.J.",Jacksonville State,OL,6-5,365
"Alaka, Otaro",Texas A&M,LB,6-3,239
"McSorley, Trace",Penn St.,QB,6-0,202
"Lewis, Drew",Colorado,LB,6-2,229
"Gray, Derwin",Maryland,OL,6-4,320
"Conrad, C.J.",Kentucky,TE,6-4,249
"Pulley, Ryan",Arkansas,CB,5-11,209
"Bailey, Jake",Stanford,P,6-1,200
"Wilson, Donovan",Texas A&M,S,6-0,199
"Haynes, Phil",Wake Forest,OL,6-4,322
"Greenlaw, Dre",Arkansas,LB,5-11,237
"Stick, Easton",North Dakota State,QB,6-1,224
"Thomas, Derrek",Baylor,CB,6-3,189
"Broughton, Cortez",Cincinnati,DL,6-2,293
