player,benchpress,vert_jump_in,broad_jump_in,3cone,shuttle,40yards,height_in,weight_lbs
"Renfrow, Hunter",7,35,116,6.8,4.19,4.59,70,184
"Ridley, Riley",13,30.5,124,7.22,4.28,4.58,73,199
"Risner, Dalton",23,28.5,110,7.69,4.52,5.3,77,312
"Roemer, Tyler",18,30.5,108,7.75,4.76,5.21,78,312
"Russell, Dontavius",24,,,7.81,4.77,5.15,75,319
"Rypien, Brett",,33,116,7.1,4.29,4.91,74,210
"Samia, Dru",28,27.5,101,7.89,4.7,5.29,77,305
"Sample, Drew",,33.5,115,7.15,4.31,4.71,77,255
"Samuel, Deebo",15,39,122,7.03,4.14,4.48,71,214
"Sanders, Miles",20,36,124,6.89,4.19,4.49,71,211
"Saunders, Khalen",27,30.5,101,7.57,4.62,5.01,72,324
"Savage, Darnell",11,39.5,126,7.03,4.14,4.36,71,198
"Scarlett, Jordan",21,30,116,7.37,4.63,4.47,71,208
"Scharping, Max",27,28,108,7.77,4.69,,78,327
"Scott, LJ",21,33,120,7.27,4.34,,72,227
"Shurmur, Kyle",,29.5,106,7.51,4.53,4.91,76,230
"Sills, David",14,37.5,117,6.97,4.28,4.57,75,211
"Singletary, Devin",15,35,117,7.32,4.4,4.66,67,203
"Slayton, Darius",11,40.5,135,7,4.15,4.39,73,190
"Slayton, Chris",28,29,101,,4.73,5.13,76,307
"Smith, Cameron",15,39,123,,4.23,4.69,74,238
"Smith, Kaden",15,32,108,7.08,4.47,4.92,77,255
"Smith, Irv",19,32.5,110,7.32,4.33,4.63,74,242
"Smith, Jaylen",14,34.5,122,7.55,4.48,4.47,74,219
"Smith, Saivion",11,33,121,7.09,4.37,,73,199
"Smith, Sutton",25,31.5,118,6.75,4.32,4.69,72,233
"Snell, Benny",16,29.5,119,7.07,4.33,4.66,70,224
"Sternberger, Jace",17,31.5,113,7.19,4.31,4.75,76,251
"Stick, Easton",,33.5,118,6.65,4.05,4.62,73,224
"Stidham, Jarrett",,31,110,7.28,4.33,4.81,74,218
"Summers, Ty",27,36,123,,,4.51,73,241
"Sweat, Montez",21,36,125,7,4.29,4.41,78,260
"Sweeney, Tommy",17,,,,,4.83,76,251
"Sweet, William",23,30.5,111,8.01,5,5.27,78,313
"Ta'amu, Jordan",,27.5,109,7.06,4.36,4.77,75,221
"Takitaki, Sione",24,37,125,7.21,4.28,4.63,73,238
"Tate, Trevon",22,,,,,,74,293
"Taylor, Jawaan",24,,,,,,77,312
