player,bench,vert,broad,cone,twenty,forty
"Pierschbacher, Ross",20.0,22.5,,7.83,4.7,5.2
"Pipkins, Trey",16.0,33.5,114.0,7.61,4.7,5.12
"Polite, Jachai",,32.0,,,,4.84
"Pollard, Tony",13.0,35.0,121.0,,,4.52
"Pope, Ryan",25.0,,,,,
"Powers, Ben",21.0,,,,,
"Pratt, Germaine",24.0,32.5,116.0,,,4.57
"Prince, Isaiah",23.0,27.0,115.0,7.9,5.02,5.09
"Pulley, Ryan",11.0,31.0,111.0,,,4.61
"Rapp, Taylor",17.0,35.0,115.0,6.82,3.99,
"Ray, Wyatt",25.0,34.0,118.0,7.34,4.31,4.83
"Raymond, Dax",15.0,32.0,109.0,7.15,4.39,4.73
"Redwine, Sheldrick",,39.0,130.0,,4.14,4.44
"Renfrow, Hunter",7.0,35.0,116.0,6.8,4.19,4.59
"Ridley, Riley",13.0,30.5,124.0,7.22,4.28,4.58
"Risner, Dalton",23.0,28.5,110.0,7.69,4.52,5.3
"Roemer, Tyler",18.0,30.5,108.0,7.75,4.76,5.21
"Russell, Dontavius",24.0,,,7.81,4.77,5.15
"Rypien, Brett",,33.0,116.0,7.1,4.29,4.91
"Samia, Dru",28.0,27.5,101.0,7.89,4.7,5.29
"Sample, Drew",,33.5,115.0,7.15,4.31,4.71
"Samuel, Deebo",15.0,39.0,122.0,7.03,4.14,4.48
"Sanders, Miles",20.0,36.0,124.0,6.89,4.19,4.49
"Saunders, Khalen",27.0,30.5,101.0,7.57,4.62,5.01
"Savage, Darnell",11.0,39.5,126.0,7.03,4.14,4.36
"Scarlett, Jordan",21.0,30.0,116.0,7.37,4.63,4.47
"Scharping, Max",27.0,28.0,108.0,7.77,4.69,
"Scott, LJ",21.0,33.0,120.0,7.27,4.34,
"Shurmur, Kyle",,29.5,106.0,7.51,4.53,4.91
"Sills, David",14.0,37.5,117.0,6.97,4.28,4.57
"Singletary, Devin",15.0,35.0,117.0,7.32,4.4,4.66
"Slayton, Darius",11.0,40.5,135.0,7.0,4.15,4.39
"Slayton, Chris",28.0,29.0,101.0,,4.73,5.13
"Smith, Cameron",15.0,39.0,123.0,,4.23,4.69
"Smith, Kaden",15.0,32.0,108.0,7.08,4.47,4.92
"Smith, Irv",19.0,32.5,110.0,7.32,4.33,4.63
"Smith, Jaylen",14.0,34.5,122.0,7.55,4.48,4.47
"Smith, Saivion",11.0,33.0,121.0,7.09,4.37,
"Smith, Sutton",25.0,31.5,118.0,6.75,4.32,4.69
"Snell, Benny",16.0,29.5,119.0,7.07,4.33,4.66
"Sternberger, Jace",17.0,31.5,113.0,7.19,4.31,4.75
"Stick, Easton",,33.5,118.0,6.65,4.05,4.62
"Stidham, Jarrett",,31.0,110.0,7.28,4.33,4.81
"Summers, Ty",27.0,36.0,123.0,,,4.51
"Sweat, Montez",21.0,36.0,125.0,7.0,4.29,4.41
"Sweeney, Tommy",17.0,,,,,4.83
"Sweet, William",23.0,30.5,111.0,8.01,5.0,5.27
"Ta'amu, Jordan",,27.5,109.0,7.06,4.36,4.77
"Takitaki, Sione",24.0,37.0,125.0,7.21,4.28,4.63
"Tate, Trevon",22.0,,,,,
"Taylor, Jawaan",24.0,,,,,
"Tell, Marvell",,42.0,136.0,6.63,4.01,
"Thomas, Derrek",8.0,39.5,131.0,,,4.44
"Thompson, Cody",19.0,38.5,119.0,6.87,4.03,4.57
"Thornhill, Juan",21.0,44.0,141.0,,,4.42
"Tillery, Jerry",23.0,32.0,115.0,7.45,4.33,4.93
"Tranquill, Drue",31.0,37.5,122.0,6.94,4.14,4.57
"Udoh, Oli",26.0,28.5,105.0,7.88,5.05,5.05
"Van Ginkel, Andrew",17.0,38.0,123.0,6.89,4.14,
"Warring, Kahale",19.0,36.5,122.0,7.21,4.25,4.67
