year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,wonaward,outland,drafted
1997,brent smith,Mississippi State,OG,77,303,5.09,24,29,,,,0,0,Y
1997,marcus spriggs,Houston,OG,75.9,315,5.45,29,26,,,,0,0,Y
1997,todd stewart,California,OT,77.1,294,5.27,19,27,94,4.79,8.2,0,0,N
1997,daryl terrell,Southern Mississippi,OG,76.5,307,5.23,28,29,103,4.77,8.33,0,0,N
1997,adam treu,Nebraska,OT,77.4,302,5.24,17,28,90,4.63,8.06,0,0,Y
1997,scott whittaker,Kansas,OT,78.6,302,5.37,,26,106,4.41,7.91,0,0,N
1997,paul wiggins,Oregon,OT,75.3,303,,33,,,,,0,0,Y
1997,jerry wunsch,Wisconsin,OT,77.9,327,,25,,,,,0,0,Y
1997,donnie young,Florida,OG,75.8,315,5.36,,26,101,4.67,8.25,0,0,N
1998,jason andersen,Brigham Young,OT,77.6,314,5.35,21,29.5,102,4.5,8.42,0,0,Y
1998,jason baker,Montana,OT,78.1,337,5.79,19,22.5,88,5.13,9.04,0,0,N
1998,eric bateman,Brigham Young,OG,78.5,319,,20,,,,,0,0,Y
1998,matt birk,Harvard,OT,76.9,308,5.4,21,29.5,106,4.45,8.13,0,0,Y
1998,rob bohlinger,Wyoming,OT,79.9,300,5.16,21,31,109,4.55,8.17,0,0,N
1998,jim bundren,Clemson,OG,74.9,303,5.16,29,28.5,103,4.43,8.11,0,0,Y
1998,anthony clement,Southwestern Louisiana,OT,79.4,355,5.64,23,26.5,97,4.93,8.6,0,0,Y
1998,tavarr closs,Connecticut,OT,76.6,299,5.46,21,26.5,104,5.07,8.97,0,0,N
1998,devon coburn,Mississippi,OT,74.8,290,5.36,14,32,98,4.72,8.73,0,0,N
1998,mo collins,Florida,OT,76.3,337,5.47,30,31.5,99,4.93,8.88,0,0,Y
1998,matt cox,Brigham Young,OG,77.8,305,5.65,,25,96,4.65,8.49,0,0,N
1998,gennaro dinapoli,Virginia Tech,OG,74.8,301,5.27,21,33,107,4.48,8.24,0,0,Y
1998,brandon dyson,Utah State,C,75.6,283,5.25,17,25.5,101,4.59,8.32,0,0,N
1998,jason fabini,Cincinnati,OT,78.4,314,5.63,20,25.5,89,4.68,8.41,0,0,Y
1998,dan finn,Northern Arizona,OG,75.5,316,5.29,26,29,108,4.39,8.32,0,0,N
1998,mark fischer,Purdue,OG,75.6,293,5.23,23,25.5,100,4.43,7.88,0,0,Y
1998,lonnie gilbert,North Carolina State,OG,74.4,289,5.18,22,,,,,0,0,N
1998,darryl gilliam,Maryland,OT,77,327,5.48,,23.5,87,4.77,8.28,0,0,N
1998,mike goff,Iowa,OG,77.1,314,5.11,24,26.5,109,4.53,8.05,0,0,Y
1998,eric gohlstin,Ohio State,OT,75.5,337,,20,,,,,0,0,N
1998,bob hallen,Kent State (OH),OT,75.9,292,5.05,34,30,105,4.35,7.75,0,0,Y
1998,robert hicks,Mississippi State,OT,79.4,351,5.65,22,21,97,5.07,9.17,0,0,Y
1998,paul janus,Northwestern,OT,76.9,295,5.47,16,29,101,4.54,8.21,0,0,N
1998,doug karczewski,Virginia,OT,76.6,295,5.3,25,28.5,104,4.56,8.51,0,0,Y
1998,todd kollar,Youngstown State (OH),OT,75.6,294,5.21,17,31,108,4.55,8.12,0,0,N
1998,jay korth,Wyoming,C,75.1,294,5.32,25,29.5,104,4.8,8.21,0,0,N
1998,kevin long,Florida State,C,77.3,296,5.33,21,31.5,103,4.52,8.14,0,0,Y
1998,jason mcendoo,Washington State,OG,76.3,310,5.52,25,24.5,99,4.8,8.42,0,0,Y
1998,steve mckinney,Texas A&M,OG,75.8,297,5.03,34,31.5,111,4.35,8.07,0,0,Y
1998,toby myles,Jackson State (MS),OT,76.6,313,5.32,17,29.5,109,4.84,8.64,0,0,Y
1998,jeremy newberry,California,C,76.9,314,5.44,27,27.5,99,4.77,8.34,0,0,Y
1998,phil ostrowski,Penn State,OG,76.4,282,5.44,15,26,96,4.7,8.07,0,0,Y
1998,jose portilla,Arizona,OT,78,325,,26,,,,,0,0,N
1998,phalen pounds,Southern California,OG,77.6,335,6.12,21,22,84,5.68,9.61,0,0,N
1998,victor riley,Auburn,OG,76.6,333,5.55,23,23,91,5.02,8.77,0,0,Y
1998,oliver ross,Iowa State,OT,76.4,301,5.21,24,26.5,97,4.59,8.15,0,0,Y
1998,glenn rountree,Clemson,OG,74.8,308,5.17,29,28.5,104,4.72,8.11,0,0,Y
1998,michael ruhl,Tulsa (OK),OT,78.1,308,5.46,15,27.5,90,4.69,8.24,0,0,N
1998,chris ruhman,Texas A&M,OT,77.3,313,5.43,13,25.5,91,4.63,8.33,0,0,Y
1998,ephraim salaam,San Diego State,OT,78.1,300,,18,28,,,,0,0,Y
