year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,defint,defyds,defavg,deftds,hasbling,allamerican,hasawards,drafted
2000,antwan harris,Virginia,CB,69.1,186,4.37,16,39,121,4.01,6.75,4,95,23.8,1,0,0,0,Y
2000,jeff harris,Georgia,CB,72.4,190,4.55,,34.5,114,4.25,6.73,6,9,1.5,0,0,0,0,Y
2000,lloyd harrison,North Carolina State,CB,70,190,4.57,16,37.5,119,4.25,7.12,12,51,4.3,0,0,0,0,Y
2000,ethan howell,Oklahoma State,CB,71,186,4.56,16,,,4.13,6.98,,,,,0,0,0,Y
2000,ben kelly,Colorado,CB,68.9,183,4.56,17,36,116,3.95,6.63,11,97,8.8,0,0,0,0,Y
2000,kareem larrimore,West Texas A&M,CB,71.1,190,4.44,,34,125,,,,,,,0,0,0,Y
2000,david macklin,Penn State,CB,68.6,194,4.56,,37.5,120,4.09,6.9,8,120,15,1,0,0,0,Y
2000,anthony malbrough,Texas Tech,CB,68.9,184,4.49,20,35.5,117,4,6.73,2,3,1.5,0,0,0,0,Y
2000,hank poteat,Pittsburgh,CB,69.9,197,4.62,16,37,126,4,6.66,10,151,15.1,0,0,0,0,Y
2000,lewis sanders,Maryland,CB,73,202,4.5,10,37,116,,,10,136,13.6,0,0,0,0,Y
2000,tony scott,North Carolina State,CB,70.3,193,4.55,11,34,116,4.24,7.45,8,104,13,0,0,0,0,Y
2000,jacoby shepherd,Oklahoma State,CB,73.5,195,4.55,5,35,120,,,2,0,0,0,0,0,0,Y
2000,darrick vaughn,Texas State,CB,70.9,196,4.55,14,36.5,121,4.16,7.09,,,,,0,0,0,Y
2000,jason webster,Texas A&M,CB,69.1,180,4.46,17,35.5,122,3.98,6.76,7,72,10.3,0,0,0,0,Y
2000,damon wheeler,Colorado,CB,68.6,179,4.56,11,35,115,4.27,7.21,,,,,0,0,0,N
2001,will allen,Syracuse,CB,70.5,192,4.44,14,39.5,121,3.9,6.78,4,42,10.5,0,0,0,0,Y
2001,gary baxter,Baylor,CB,73.6,204,4.52,,37.5,122,4.21,7.39,6,117,19.5,0,0,0,0,Y
2001,harold blackmon,Northwestern,CB,71.4,210,4.47,17,37,121,4.28,7.03,10,103,10.3,1,0,0,0,Y
2001,kenny bryant,Jackson State (MS),CB,70.6,190,4.63,10,37.5,117,4.15,7.5,5,122,24.4,1,0,0,0,N
2001,jerametrius butler,Kansas State,CB,70,173,4.57,11,36,121,4.4,7.22,10,68,6.8,0,0,0,0,Y
2001,tay cody,Florida State,CB,69.1,181,4.55,11,,,,,12,221,18.4,1,1,1,1,Y
2001,rodney crayton,Auburn,CB,67.6,178,4.58,13,35.5,118,4.4,7.25,9,26,2.9,0,0,0,0,N
2001,patrick dyson,Utah,CB,70,179,4.55,,31.5,119,,,2,64,32,1,0,0,0,N
2001,nijrell eason,Arizona State,CB,72.8,201,4.59,19,34.5,119,,,6,47,7.8,0,0,0,0,N
2001,kenneth grant,Kentucky,CB,70.3,204,4.5,,39,115,4.34,7.15,,,,,0,0,0,N
2001,jamie henderson,Georgia,CB,73.5,202,4.48,10,40.5,125,4.12,6.9,8,112,14,2,0,0,0,Y
