year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,drafted
2001,nate poole,Marshall (WV),WR,73.5,198,4.8,,32.5,112,4.22,7.26,N
2017,speedy noil,Texas A&M,WR,71.13,199,,18,43.5,133,,,N
2016,rashawn scott,Miami (FL),WR,72.88,199,,17,32.5,116,,,N
2018,davon grayson,East Carolina (NC),WR,73,199,4.51,19,34.5,124,,,N
2018,darren carrington,Utah,WR,74,199,,,36,120,,,N
2016,jalin marshall,Ohio State,WR,70.5,200,4.6,16,37.5,125,4.13,6.8,N
2009,jeremy childs,Boise State,WR,71.63,200,4.62,,33.5,115,4.26,6.9,N
2008,jason rivers,Hawaii,WR,73.25,200,4.62,,30,118,4.32,7.03,N
2008,darius reynaud,West Virginia,WR,69.25,201,4.52,20,34.5,130,4.32,6.88,N
2016,byron marshall,Oregon,WR,69.38,201,,17,,,,,N
2016,roger lewis,Bowling Green (OH),WR,72.38,201,4.57,8,33.5,116,,,N
2010,chris mcgaha,Arizona State,WR,72.88,201,4.52,19,40,122,4.21,,N
2004,chris collins,Mississippi,WR,73.1,201,4.67,,35,112,,,N
2015,davaris daniels,Notre Dame,WR,73.5,201,4.62,13,37,122,,,N
2006,greg lee,Pittsburgh,WR,73.63,201,4.6,,35.5,114,4.09,6.8,N
1999,jermaine copeland,Tennessee,WR,74,201,4.5,,36,117,4.28,7.3,N
2007,jerard rabb,Boise State,WR,74.38,201,4.6,,36.5,125,4.19,6.99,N
2014,albert wilson,Georgia State,WR,69,202,4.43,10,37.5,123,4.21,7,N
2004,tony johnson,Penn State,WR,70.6,202,4.61,,32.5,118,4.16,7.16,N
2017,travin dural,Louisiana State,WR,73,202,4.57,,30.5,116,4.55,7.29,N
2011,ryan whalen,Stanford,WR,73.13,202,4.53,18,38.5,123,4.09,6.67,N
2013,alec lemon,Syracuse,WR,73.25,202,4.59,7,32,112,4.29,7.04,N
2018,byron pringle,Kansas State,WR,73,203,4.46,15,33.5,120,4.4,6.87,N
1998,chris jackson,Washington State,WR,73.1,203,4.67,,33.5,111,4.1,7.5,N
2017,kendrick bourne,Eastern Washington,WR,73.25,203,4.68,9,34,125,4.21,6.73,N
1999,david saunders,West Virginia,WR,73.6,203,4.79,,32,112,,,N
1998,taj johnson,San Diego State,WR,74,203,4.61,,,,,,N
2000,wendell montgomery,Wyoming,WR,75,203,4.84,,35.5,117,4.24,7.01,N
2013,lanear sampson,Baylor,WR,71.13,204,4.46,20,33.5,119,4.38,7.1,N
2013,tj moe,Missouri,WR,71.5,204,4.74,26,36,120,3.96,6.53,N
2015,ross scheuerman,Lafayette (PA),WR,71.88,204,4.62,15,33,121,4.11,7.08,N
