year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,drafted
1999,warrick holdman,Texas A&M,OLB,74.0,233,4.69,16.0,35.0,123.0,4.06,7.22,Y
1999,kevin homer,Chadron State (NE),ILB,74.5,241,4.99,15.0,32.5,109.0,4.33,7.41,N
1999,terry houzah,Mississippi Valley State,ILB,73.0,238,4.84,18.0,33.0,115.0,4.37,7.56,N
1999,bobbie howard,Notre Dame,ILB,70.0,232,4.74,16.0,30.0,110.0,4.48,7.52,N
1999,matt hughes,Iowa,ILB,75.0,251,4.76,14.0,31.0,111.0,4.33,7.42,N
1999,olrick johnson,Florida A&M,ILB,71.5,246,4.92,27.0,29.5,100.0,4.24,7.73,N
1999,bryan jones,Oregon,OLB,76.0,210,4.61,12.0,35.0,118.0,4.28,7.21,Y
1999,chris jones,Clemson,OLB,70.1,228,4.72,21.0,24.5,106.0,4.48,7.64,Y
1999,andy katzenmoyer,Ohio State,ILB,74.6,258,4.68,23.0,,,,,Y
1999,jevon kearse,Florida,OLB,76.9,262,4.58,,37.0,122.0,4.24,,Y
1999,jeff kelly,Kansas State,ILB,72.1,256,4.95,16.0,32.0,112.0,4.37,7.65,Y
1999,chad kelsay,Nebraska,OLB,74.5,254,4.91,22.0,35.5,116.0,4.3,7.09,Y
1999,courtney ledyard,Michigan State,ILB,74.0,250,5.11,20.0,34.5,115.0,4.24,7.85,N
1999,kevin mccullar,Texas Tech,OLB,74.6,246,4.97,12.0,30.0,106.0,4.21,7.14,N
1999,cj mclain,Arkansas,OLB,75.0,243,4.72,21.0,36.0,117.0,4.25,7.2,N
1999,john mclaughlin,California,OLB,75.3,247,4.72,18.0,31.5,107.0,4.15,6.84,Y
1999,kory minor,Notre Dame,OLB,72.5,244,4.71,,31.0,112.0,4.27,7.2,Y
1999,hannibal navies,Colorado,OLB,74.5,239,4.64,18.0,33.0,114.0,4.19,,Y
1999,keith newman,North Carolina,ILB,74.5,239,4.73,18.0,32.0,110.0,4.37,7.54,Y
1999,dat nguyen,Texas A&M,ILB,71.0,234,4.74,19.0,,,,,Y
1999,kendell ogle,Maryland,OLB,72.8,235,4.67,20.0,35.0,118.0,4.05,7.44,N
1999,chike okeafor,Purdue,OLB,76.6,254,4.74,17.0,36.5,113.0,4.2,7.09,Y
1999,mike peterson,Florida,OLB,73.5,233,4.47,18.0,36.0,118.0,4.08,7.07,Y
1999,joey porter,Colorado State,OLB,74.5,241,4.68,27.0,39.0,122.0,4.41,7.37,Y
1999,wali rainer,Virginia,ILB,73.8,241,4.91,26.0,32.0,111.0,4.33,7.83,Y
1999,brian rogers,Oregon State,ILB,74.3,239,4.76,19.0,36.0,108.0,4.39,7.34,N
1999,orlando ruff,Furman (SC),ILB,74.1,248,4.99,22.0,33.0,113.0,4.33,7.4,N
1999,johnny rutledge,Florida,ILB,74.0,245,4.63,18.0,33.0,115.0,4.21,7.27,Y
1999,khari samuel,Massachusetts,ILB,74.4,242,4.76,24.0,35.0,116.0,4.34,7.56,Y
1999,brian smith,Alabama-Birmingham,OLB,73.0,252,4.96,21.0,32.5,107.0,4.67,7.84,N
1999,brandon southward,Colorado,ILB,76.0,242,4.88,20.0,30.5,110.0,4.38,7.49,N
1999,donnie spragan,Stanford,OLB,76.0,236,4.95,20.0,33.0,113.0,4.4,7.88,N
1999,mike stanec,Youngstown State (OH),ILB,75.0,241,4.66,29.0,38.0,118.0,4.34,7.24,N
1999,derik stevenson,Brigham Young,OLB,75.9,235,4.9,14.0,31.0,111.0,4.3,7.81,N
1999,gary stills,West Virginia,OLB,73.4,238,4.76,23.0,31.5,110.0,4.28,7.33,Y
1999,sam sword,Michigan,ILB,73.3,242,5.01,,,,4.34,7.8,N
1999,joe wesley,Louisiana State,ILB,73.0,229,4.72,15.0,33.0,114.0,4.29,7.6,N
1999,parc williams,Minnesota,OLB,75.0,239,4.97,14.0,33.0,114.0,4.27,7.25,N
1999,al wilson,Tennessee,ILB,71.8,239,4.56,17.0,33.0,116.0,4.25,7.31,Y
1999,mark word,Jacksonville State (AL),OLB,76.9,258,4.87,16.0,31.5,115.0,4.33,7.44,N
2000,corey atkins,South Carolina,OLB,72.4,237,4.76,21.0,31.0,112.0,4.39,7.96,N
2000,marcus bell,Arizona,ILB,73.6,237,4.8,21.0,31.5,111.0,4.33,7.17,Y
2000,keith bulluck,Syracuse,OLB,75.0,244,4.47,,38.0,119.0,4.13,7.33,Y
2000,danny clark,Illinois,ILB,74.1,245,4.77,20.0,,,,,Y
2000,dwan epps,Texas Southern,ILB,73.0,242,4.68,8.0,34.5,,,,N
