year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,drafted
2001,adam archuleta,Arizona State,SS,71.9,211,4.46,31.0,,,,,Y
2001,idrees bashir,Memphis,FS,74.3,206,4.55,22.0,40.0,126.0,4.2,7.14,Y
2001,cory bird,Virginia Tech,SS,70.3,217,4.6,22.0,,,,,Y
2001,randy black,Nevada Las Vegas,SS,71.9,205,4.71,,35.5,115.0,4.2,7.14,N
2001,james boyd,Penn State,SS,71.0,207,4.59,,32.5,117.0,4.24,7.29,Y
2001,robert carswell,Clemson,FS,71.9,214,4.59,21.0,34.0,106.0,4.18,7.14,Y
2001,jarrod cooper,Kansas State,SS,72.5,222,4.43,,41.5,130.0,3.9,6.87,Y
2001,tony dixon,Alabama,SS,73.1,213,4.57,17.0,37.0,117.0,,7.38,Y
2001,shawn forte,Maryland,FS,72.8,204,4.54,20.0,,,,,N
2001,curtis fuller,Texas Christian,FS,69.9,186,4.43,18.0,36.0,114.0,4.21,7.2,Y
2001,derrick gibson,Florida State,SS,73.6,218,4.45,17.0,,,,,Y
2001,corey hall,Appalachian State (NC),FS,75.5,198,4.52,14.0,36.5,127.0,,,Y
2001,shaunard harts,Boise State,SS,71.6,200,4.51,12.0,34.5,119.0,,7.14,Y
2001,john howell,Colorado State,FS,71.6,204,4.6,14.0,37.0,121.0,4.12,6.87,Y
2001,michael jameson,Texas A&M,FS,71.4,186,4.48,9.0,34.5,118.0,4.2,7.13,Y
2001,marlon mccree,Kentucky,SS,71.0,197,4.6,10.0,38.0,117.0,4.1,7.36,Y
2001,carl nesmith,Kansas,FS,74.0,223,4.95,5.0,31.5,112.0,,,N
2001,richard newsome,Michigan State,FS,70.6,203,4.59,14.0,,,,,N
2001,ifeanyi ohalete,Southern California,FS,73.6,221,4.64,16.0,,,,,N
2001,emile white,Houston,SS,72.1,219,4.65,16.0,34.5,111.0,,7.26,N
2001,adrian wilson,North Carolina State,SS,74.4,213,4.55,21.0,39.5,120.0,,,Y
2002,marques anderson,UCLA,SS,71.0,213,4.52,16.0,39.5,124.0,,,Y
2002,terreal bierria,Georgia,FS,74.6,216,4.56,18.0,36.0,129.0,4.1,6.93,Y
2002,sam brandon,Nevada Las Vegas,FS,74.0,199,4.72,,36.5,124.0,,,Y
2002,jack brewer,Minnesota,FS,72.0,194,4.57,12.0,37.0,120.0,4.24,6.9,N
2002,kevin curtis,Texas Tech,FS,73.6,212,4.54,24.0,37.5,123.0,3.88,6.75,Y
2002,dan dawson,Rice (TX),SS,73.0,219,4.64,24.0,38.0,121.0,4.0,6.75,N
2002,bobby gray,Louisiana Tech,SS,72.1,209,4.66,24.0,,111.0,,,Y
2002,quentin harris,Syracuse,FS,73.0,216,4.61,14.0,36.5,120.0,4.34,7.59,N
2002,jason hebert,Rice (TX),FS,71.4,190,4.63,15.0,35.5,115.0,3.86,7.12,N
2002,chris hope,Florida State,FS,71.6,210,4.56,28.0,,112.0,,,Y
2002,abdual howard,Florida State,SS,72.0,209,4.63,,,117.0,,,N
2002,ron isreal,Notre Dame,SS,73.0,213,4.6,20.0,,121.0,,,N
2002,bobby jackson,Illinois,SS,72.4,216,4.74,,34.5,120.0,4.16,7.01,N
2002,stephon kelly,Winston-Salem State (NC),SS,74.6,212,4.67,15.0,32.5,117.0,4.1,7.26,N
2002,michael lewis,Colorado,SS,73.1,211,4.56,16.0,36.5,121.0,4.14,6.96,Y
2002,wesly mallard,Oregon,SS,73.6,221,4.52,22.0,41.0,118.0,4.07,6.81,N
2002,marquand manuel,Florida,SS,72.0,209,4.52,18.0,,,,,Y
2002,jon mcgraw,Kansas State,SS,75.1,208,4.48,13.0,39.5,123.0,3.92,6.51,Y
2002,mel mitchell,Western Kentucky,FS,73.1,220,4.59,15.0,35.0,126.0,4.15,7.0,Y
2002,willie offord,South Carolina,SS,73.6,215,4.61,22.0,35.0,116.0,,,Y
2002,jermaine phillips,Georgia,FS,73.1,214,4.65,18.0,31.5,113.0,,,Y
2002,rick sherrod,West Virginia,FS,73.8,192,4.58,,37.0,115.0,4.11,7.09,N
2002,steve smith,Oregon,SS,72.6,193,4.6,,30.5,107.0,4.22,7.0,Y
2002,lamont thompson,Washington State,FS,73.1,220,4.56,12.0,33.5,116.0,,,Y
2002,chad williams,Southern Mississippi,SS,69.5,207,4.5,20.0,36.5,120.0,,6.96,Y
2002,roy williams,Oklahoma,SS,72.4,219,4.53,13.0,30.5,111.0,,,Y
2002,tank williams,Stanford,FS,74.4,222,4.41,19.0,38.5,119.0,3.93,6.78,Y
2002,coy wire,Stanford,SS,71.8,209,4.56,28.0,38.5,118.0,3.87,6.62,Y
2002,chris young,Georgia Tech,SS,71.9,210,4.6,23.0,36.5,120.0,,,Y
2003,colin branch,Stanford,FS,71.8,203,4.43,22.0,36.0,119.0,,,Y
2003,chris brown,Hawaii,FS,73.0,195,4.59,15.0,35.5,126.0,4.13,7.05,Y
2003,curry burns,Louisville,SS,72.4,216,4.55,19.0,36.0,120.0,4.1,7.03,Y
2003,charles drake,Michigan,FS,73.0,205,4.52,20.0,,,,,Y
2003,anthony floyd,Louisville,FS,69.5,202,4.6,19.0,33.5,117.0,4.18,7.09,N
2003,ken hamlin,Arkansas,FS,74.5,209,4.6,16.0,33.0,117.0,3.92,6.78,Y
2003,terrence holt,North Carolina State,FS,73.8,208,4.63,13.0,34.5,122.0,3.97,6.99,Y
