year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,drafted
2004,chris cooley,Utah State,TE,75.5,265,4.86,22.0,33.0,115.0,4.19,7.21,Y
2004,jeff dugan,Maryland,TE,77.0,263,5.0,21.0,28.0,109.0,4.4,7.43,Y
2004,tim euhus,Oregon State,TE,77.0,260,4.89,25.0,34.5,115.0,4.13,6.99,Y
2004,johnpaul foschi,Georgia Tech,TE,75.9,266,5.01,24.0,30.5,111.0,4.35,7.49,N
2004,michael gaines,Central Florida,TE,74.0,275,5.07,18.0,33.0,109.0,4.18,7.44,Y
2004,ronnie ghent,Louisville,TE,74.5,248,5.0,11.0,27.5,103.0,4.5,7.47,N
2004,ben hartsock,Ohio State,TE,76.0,263,4.81,23.0,35.0,117.0,3.98,7.1,Y
2004,nate lawrie,Yale,TE,78.0,264,4.87,23.0,34.0,117.0,4.12,6.71,Y
2004,sean mchugh,Penn State,TE,77.1,264,4.92,18.0,29.0,115.0,4.09,7.36,Y
2004,jason peters,Arkansas,TE,76.5,336,4.99,21.0,29.0,115.0,4.75,7.7,N
2004,brett pierce,Stanford,TE,78.0,250,4.95,19.0,27.0,103.0,4.39,7.15,N
2004,sean ryan,Boston College,TE,76.5,268,4.97,22.0,32.5,115.0,,,Y
2004,mike walker,Minnesota-Morris,TE,76.0,254,4.8,19.0,30.0,106.0,4.35,7.51,N
2004,ben watson,Georgia,TE,75.5,258,4.52,34.0,35.5,123.0,4.11,7.38,Y
2004,keith willis,Virginia Tech,TE,77.8,260,5.03,21.0,,114.0,4.44,7.33,N
2004,kris wilson,Pittsburgh,TE,74.0,248,4.62,24.0,35.0,119.0,4.13,6.89,Y
2004,kellen winslow,Miami (FL),TE,75.9,251,4.62,24.0,,120.0,,,N
2005,billy bajema,Oklahoma State,TE,76.88,261,4.78,16.0,31.5,111.0,4.25,7.05,Y
2005,adam bergen,Lehigh (PA),TE,76.38,265,4.84,25.0,38.0,118.0,4.1,7.11,N
2005,jerome collins,Notre Dame,TE,76.25,267,4.73,21.0,,114.0,,,Y
2005,jonas crafts,Texas-El Paso,TE,74.88,247,4.89,24.0,,,,,N
2005,tony curtis,Portland State (OR),TE,77.38,269,4.97,21.0,,115.0,,,N
2005,joel dreessen,Colorado State,TE,76.25,260,4.77,22.0,36.0,111.0,4.01,7.09,Y
2005,kelly griffeth,Fort Hays State (KS),TE,77.25,284,4.93,21.0,28.0,101.0,4.27,7.25,N
2005,alex holmes,Southern California,TE,73.75,265,4.92,18.0,,,,,N
2005,tony jackson,Iowa,TE,74.0,266,4.76,23.0,33.0,112.0,4.48,7.5,Y
2005,matt jones,Arkansas,TE,78.3,242,4.38,20.0,39.5,123.0,4.2,,Y
2005,dave kashetta,Boston College,TE,75.38,247,4.9,17.0,35.5,113.0,4.34,7.34,N
2005,bo scaife,Texas,TE,74.63,249,4.79,24.0,32.5,110.0,4.12,7.21,Y
2005,alex smith,Stanford,TE,76.1,258,4.75,28.0,,,,,Y
2005,alex smith,Stanford,TE,76.1,258,4.75,28.0,,,,,Y
2006,owen daniels,Wisconsin,TE,75.38,253,4.66,23.0,34.5,114.0,4.1,6.87,Y
2006,charles davis,Purdue,TE,77.5,263,4.94,27.0,31.5,108.0,4.37,7.53,Y
2006,vernon davis,Maryland,TE,75.25,254,4.39,33.0,42.0,128.0,4.17,7.0,Y
2006,tim day,Oregon,TE,75.25,256,4.76,24.0,35.0,109.0,4.2,7.03,N
2006,anthony fasano,Notre Dame,TE,76.13,259,4.86,19.0,33.5,112.0,4.34,6.94,Y
2006,daniel fells,UC-Davis,TE,75.38,259,4.94,19.0,29.5,108.0,4.46,7.27,N
2006,matt henshaw,Florida State,TE,76.38,248,4.76,16.0,29.0,111.0,4.44,7.44,N
2006,jeff king,Virginia Tech,TE,77.13,245,4.88,21.0,32.5,109.0,4.09,6.99,Y
2006,joe klopfenstein,Colorado,TE,77.75,255,4.65,27.0,36.0,112.0,4.21,7.39,Y
2006,marcedes lewis,UCLA,TE,78.38,261,4.84,23.0,37.0,118.0,4.82,7.24,Y
2006,jason pociask,Wisconsin,TE,75.0,266,4.88,23.0,32.5,115.0,4.3,7.31,Y
2006,leonard pope,Georgia,TE,79.75,258,4.67,22.0,37.5,118.0,4.67,7.47,Y
2006,tony scheffler,Western Michigan,TE,77.38,254,4.57,17.0,33.5,115.0,4.01,6.81,Y
2006,quinn sypniewski,Colorado,TE,78.5,268,4.8,20.0,32.5,114.0,4.52,7.09,Y
2006,david thomas,Texas,TE,75.13,252,4.72,19.0,37.5,113.0,4.34,7.05,N
2006,cooper wallace,Auburn,TE,75.63,261,4.83,21.0,29.0,105.0,4.21,7.29,N
2006,tj williams,North Carolina State,TE,74.4,269,4.75,25.0,34.0,111.0,4.54,7.49,Y
2007,michael allan,Whitworth (WA),TE,78.13,255,4.71,19.0,36.0,123.0,4.52,7.31,Y
2007,kevin boss,Western Oregon,TE,78.5,252,4.79,,35.0,116.0,4.41,6.96,Y
2007,scott chandler,Iowa,TE,79.0,270,4.83,16.0,30.0,111.0,4.32,7.26,Y
2007,daniel coats,Brigham Young,TE,74.63,257,4.98,34.0,30.0,111.0,4.43,7.07,N
2007,jonny harline,Brigham Young,TE,75.75,248,4.85,15.0,28.5,106.0,4.68,7.05,N
2007,clark harris,Rutgers,TE,77.5,261,4.81,21.0,32.0,112.0,4.4,,Y
2007,zach miller,Arizona State,TE,76.38,256,4.89,,34.0,115.0,4.42,7.01,Y
2007,martrez milner,Georgia,TE,75.88,252,4.83,19.0,34.0,117.0,4.49,7.35,Y
2007,joe newton,Oregon State,TE,79.13,257,4.91,20.0,31.0,109.0,4.57,7.35,N
2007,greg olsen,Miami (FL),TE,77.88,254,4.53,23.0,35.5,114.0,4.48,7.04,Y
2007,ben patrick,Delaware,TE,75.13,252,4.74,,34.5,111.0,4.31,7.21,Y
2007,anthony pudewell,Nevada,TE,76.0,250,5.07,15.0,25.5,101.0,4.41,7.31,N
2007,dante rosario,Oregon,TE,75.25,244,4.8,20.0,36.0,115.0,4.47,6.96,Y
2007,chad upshaw,Buffalo,TE,76.4,252,4.92,16.0,33.5,108.0,4.58,7.23,N
2008,gary barnidge,Louisville,TE,77.63,243,4.64,22.0,31.0,117.0,4.23,6.92,Y
2008,martellus bennett,Texas A&M,TE,78.13,259,4.75,18.0,34.0,118.0,4.53,7.64,Y
2008,adam bishop,Nevada,TE,76.88,248,4.98,21.0,27.0,113.0,4.28,7.14,N
2008,john carlson,Notre Dame,TE,77.13,251,4.89,20.0,30.5,113.0,4.28,7.12,Y
2008,brad cottam,Tennessee,TE,79.5,270,4.75,24.0,33.0,,,,Y
2008,kellen davis,Michigan State,TE,78.5,262,4.59,22.0,28.0,118.0,4.38,7.25,Y
2008,derek fine,Kansas,TE,74.63,251,4.85,24.0,29.0,115.0,4.19,6.8,Y
2008,jermichael finley,Texas,TE,76.5,243,4.86,20.0,27.5,117.0,4.38,7.15,Y
2008,joey haynos,Maryland,TE,79.63,259,4.94,17.0,30.5,123.0,4.42,6.92,N
2008,kolo kapanui,West Texas A&M,TE,75.38,271,5.11,23.0,26.5,107.0,4.66,7.42,N
2008,dustin keller,Purdue,TE,74.13,242,4.57,26.0,38.0,131.0,4.14,6.88,Y
2008,evan moore,Stanford,TE,78.0,233,4.78,16.0,27.0,110.0,4.43,7.08,N
2008,tom santi,Virginia,TE,75.5,250,4.81,14.0,36.0,121.0,4.27,7.08,Y
2008,craig stevens,California,TE,75.25,254,4.67,27.0,27.5,114.0,4.31,7.07,Y
2008,darrell strong,Pittsburgh,TE,76.0,268,4.81,17.0,25.0,110.0,4.36,6.86,N
2008,jacob tamme,Kentucky,TE,75.5,236,4.61,18.0,30.0,109.0,4.27,6.99,Y
2009,travis beckum,Wisconsin,TE,75.0,239,4.62,28.0,,,,,Y
2009,jared bronson,Central Washington,TE,75.88,253,4.7,,32.5,116.0,4.33,7.15,N
2009,jared cook,South Carolina,TE,77.0,246,4.49,23.0,41.0,123.0,,,Y
2009,davon drew,East Carolina (NC),TE,75.75,256,4.78,17.0,29.5,113.0,4.56,7.28,Y
2009,dan gronkowski,Maryland,TE,77.5,255,4.79,26.0,33.0,122.0,4.26,6.92,Y
2009,anthony hill,North Carolina State,TE,77.0,262,4.84,21.0,30.5,107.0,4.56,7.31,Y
2009,cornelius ingram,Florida,TE,75.88,245,4.68,21.0,33.0,,4.53,7.12,Y
2009,cameron morrah,California,TE,75.38,244,4.65,24.0,32.5,115.0,4.36,6.99,Y
2009,shawn nelson,Southern Mississippi,TE,77.0,240,4.52,19.0,33.0,115.0,4.46,6.96,Y
2009,bear pascoe,Frenso State (CA),TE,77.13,251,4.96,,26.5,107.0,4.55,7.65,Y
2009,brandon pettigrew,Oklahoma State,TE,77.38,263,4.8,22.0,33.0,118.0,4.37,7.12,Y
2009,john phillips,Virginia,TE,77.38,251,4.78,20.0,33.5,112.0,4.27,6.84,Y
2009,richard quinn,North Carolina,TE,75.88,264,4.88,24.0,32.5,119.0,4.62,7.5,Y
2009,kory sperry,Colorado State,TE,77.0,238,4.7,20.0,33.5,122.0,4.25,7.0,N
2010,nate byham,Pittsburgh,TE,75.88,268,4.97,,29.0,109.0,,,Y
2010,dorin dickerson,Pittsburgh,TE,73.38,226,4.4,24.0,43.5,125.0,4.3,6.96,Y
2010,ed dickson,Oregon,TE,76.25,249,4.59,23.0,34.0,115.0,4.59,7.32,Y
2010,jim dray,Stanford,TE,76.75,246,4.82,17.0,,,,,Y
2010,brody eldridge,Oklahoma,TE,76.75,261,4.72,,31.5,,,,Y
2010,dedrick epps,Miami (FL),TE,76.0,246,4.72,19.0,,,,,Y
2010,garrett graham,Wisconsin,TE,75.13,243,4.71,20.0,34.5,112.0,4.35,7.09,Y
2010,jimmy graham,Miami (FL),TE,78.25,260,4.53,,38.5,120.0,4.45,6.9,Y
2010,jermaine gresham,Oklahoma,TE,77.25,261,4.66,20.0,35.0,113.0,4.53,7.07,Y
2010,rob gronkowski,Arizona,TE,78.0,258,4.68,23.0,,,,,Y
2010,michael hoomanawanui,Illinois,TE,75.63,264,4.77,25.0,,,,,N
2010,anthony mccoy,Southern California,TE,76.5,259,4.71,19.0,35.5,113.0,4.57,6.99,Y
2010,tony moeaki,Iowa,TE,75.0,245,4.69,18.0,34.0,113.0,4.42,7.1,Y
2010,colin peek,Alabama,TE,77.0,252,4.92,19.0,,,,,N
2010,dennis pitta,Brigham Young,TE,76.5,245,4.68,27.0,34.0,113.0,4.17,6.72,Y
2010,andrew quarless,Penn State,TE,77.0,254,4.68,23.0,32.0,112.0,,,Y
2011,jordan cameron,Southern California,TE,77.25,254,4.53,23.0,37.5,119.0,4.03,6.82,Y
2011,charlie gantt,Michigan State,TE,76.0,252,4.85,27.0,30.5,112.0,4.4,7.15,N
2011,cameron graham,Louisville,TE,75.13,244,5.0,18.0,31.0,105.0,4.51,7.19,N
2011,virgil green,Nevada,TE,75.38,249,4.54,23.0,42.5,130.0,4.4,6.9,Y
2011,daniel hardy,Idaho,TE,75.75,249,4.77,18.0,,,,,N
2011,rob housler,Florida Atlantic,TE,77.38,248,4.46,22.0,37.0,117.0,4.21,6.9,N
2011,lance kendricks,Wisconsin,TE,74.88,243,4.65,25.0,34.5,122.0,4.15,6.94,Y
2011,schuylar oordt,Northern Iowa,TE,77.75,261,4.63,18.0,36.0,119.0,4.25,6.83,N
2011,zach pianalto,North Carolina,TE,75.25,256,4.78,22.0,32.0,108.0,4.41,6.85,N
