year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,allamerican,hasawards,hasbling,scrimyds,scrimplays,scrimypa,scrimtds,drafted
2001,dauntae finger,North Carolina,TE,76,262,5.09,15,33.5,103,4.59,7.95,0,0,0,138,15,9.2,1,Y
2001,antoine harris,Southern California,TE,75.4,260,4.93,11,26,,,,0,0,0,765,61,12.5,7,N
2001,todd heap,Arizona State,TE,76.6,252,4.68,22,32,,,,0,0,0,1687,116,14.5,10,Y
2001,jabari holloway,Notre Dame,TE,74.4,253,4.94,20,38.5,113,4.4,7.14,0,0,0,692,41,16.9,7,Y
2001,jevaris johnson,Georgia,TE,77.5,257,4.9,18,29,,,,0,0,0,517,42,12.3,2,N
2001,arther love,South Carolina State,TE,75.6,236,4.85,24,36,,,,0,0,0,,,,,Y
2001,brandon manumaleuna,Arizona,TE,74.1,275,5,,30,106,4.26,7.49,0,0,0,544,41,13.3,3,Y
2001,shad meier,Kansas State,TE,77,256,4.84,20,34,113,4.15,7.14,0,0,0,228,19,12,1,Y
2001,brian natkin,Texas-El Paso,TE,74.1,251,5.04,20,27,98,4.59,7.78,1,1,1,1928,172,11.2,11,N
2001,dan oleary,Notre Dame,TE,76,252,5.02,16,32,113,4.31,7.4,0,0,0,383,32,12,4,Y
2001,ryan prince,Weber State (UT),TE,76.4,257,4.98,20,31,102,4.45,7.65,0,0,0,,,,,N
2001,marcellus rivers,Oklahoma State,TE,76.4,247,4.86,7,32.5,113,4.25,7.04,0,0,0,963,68,14.2,10,N
2001,mike roberg,Idaho,TE,76.4,256,4.75,16,34.5,117,4.4,7.28,0,0,0,722,64,11.3,10,Y
2001,russell stewart,Stanford,TE,76.1,251,4.98,17,28.5,106,4.3,7.46,0,0,0,423,31,13.6,3,N
2001,tony stewart,Penn State,TE,77.5,256,4.97,,35.5,109,4.4,7.3,0,0,0,861,59,14.6,3,Y
2001,boo williams,Arkansas,TE,76,237,4.72,,35.5,119,4.33,7.1,0,0,0,1123,80,14,11,N
2002,mark anelli,Wisconsin,TE,75.8,262,4.8,18,,,,,0,0,0,481,48,10,3,Y
2002,chris baker,Michigan State,TE,75.1,258,4.85,18,35,111,,6.95,0,0,0,1714,134,12.8,13,Y
